"","uni","metric","metrix","stage","col","barefoot2025.bad20.003","pval"
"3520","L2CompR12.qSigma.4","qSigma","99","99","4",-0.0312217840463982,NA
"3521","L22CompL3.qSigma.4","qSigma","99","99","4",0.025607138881815,NA
"3522","L22CompL32.qSigma.4","qSigma","99","99","4",0.0634403771209437,NA
"3523","L22CompR1.qSigma.4","qSigma","99","99","4",-0.0593779060866272,NA
"3524","L22CompR12.qSigma.4","qSigma","99","99","4",-0.118068069915437,NA
"3525","L3CompR1.qSigma.4","qSigma","99","99","4",-0.0872184601916273,NA
"3526","L3CompR12.qSigma.4","qSigma","99","99","4",-0.14745100721733,NA
"3527","L32CompR1.qSigma.4","qSigma","99","99","4",-0.131137708915977,NA
"3528","L32CompR12.qSigma.4","qSigma","99","99","4",-0.193803408349391,NA
"3529","DCompL1.qConnect.4","qConnect","99","99","4",0.876150694410431,NA
"3530","DCompL12.qConnect.4","qConnect","99","99","4",0.339615024210112,NA
"3531","DCompL2.qConnect.4","qConnect","99","99","4",0.305861378899108,NA
"3532","DCompL22.qConnect.4","qConnect","99","99","4",0.258061760864782,NA
"3533","DCompL3.qConnect.4","qConnect","99","99","4",0.268024779362998,NA
"3534","DCompL32.qConnect.4","qConnect","99","99","4",0.304375184487184,NA
"3535","DCompR1.qConnect.4","qConnect","99","99","4",0.0994844488717553,NA
"3536","DCompR12.qConnect.4","qConnect","99","99","4",0.0810617601158104,NA
"3537","L1CompL2.qConnect.4","qConnect","99","99","4",-4.60470337557836,NA
"3538","L1CompL22.qConnect.4","qConnect","99","99","4",-4.99065320231967,NA
"3539","L1CompL3.qConnect.4","qConnect","99","99","4",-4.9102085163298,NA
"3540","L1CompL32.qConnect.4","qConnect","99","99","4",-4.61670339774117,NA
"3541","L1CompR1.qConnect.4","qConnect","99","99","4",-6.2710585403887,NA
"3542","L1CompR12.qConnect.4","qConnect","99","99","4",-6.4198093845557,NA
"3543","L12CompL2.qConnect.4","qConnect","99","99","4",-0.0511120733336368,NA
"3544","L12CompL22.qConnect.4","qConnect","99","99","4",-0.123493517168201,NA
"3545","L12CompL3.qConnect.4","qConnect","99","99","4",-0.108406834606564,NA
"3546","L12CompL32.qConnect.4","qConnect","99","99","4",-0.053362570341304,NA
"3547","L12CompR1.qConnect.4","qConnect","99","99","4",-0.363622105501623,NA
"3548","L12CompR12.qConnect.4","qConnect","99","99","4",-0.39151899811931,NA
"3549","L2CompL3.qConnect.4","qConnect","99","99","4",-0.0545087081829577,NA
"3550","L2CompL32.qConnect.4","qConnect","99","99","4",-0.00214106284644766,NA
"3551","L2CompR1.qConnect.4","qConnect","99","99","4",-0.297313711921175,NA
"3552","L2CompR12.qConnect.4","qConnect","99","99","4",-0.323854071722401,NA
"3553","L22CompL3.qConnect.4","qConnect","99","99","4",0.013428366368917,NA
"3554","L22CompL32.qConnect.4","qConnect","99","99","4",0.062422208722365,NA
"3555","L22CompR1.qConnect.4","qConnect","99","99","4",-0.213733844178,NA
"3556","L22CompR12.qConnect.4","qConnect","99","99","4",-0.238564332464219,NA
"3557","L3CompR1.qConnect.4","qConnect","99","99","4",-0.230254147598837,NA
"3558","L3CompR12.qConnect.4","qConnect","99","99","4",-0.25542260718127,NA
"3559","L32CompR1.qConnect.4","qConnect","99","99","4",-0.294542016107322,NA
"3560","L32CompR12.qConnect.4","qConnect","99","99","4",-0.321025672735304,NA
"3561","DCompL1.qTau1.4","qTau1","99","99","4",-1.50801922482376,NA
