"","uni","metric","metrix","stage","col","cclong2025.lad9.004","pval"
"115","Connect.10.0","Connect","3","10","1",0.0762051057112791,0.0460573746609615
"116","Tau1.10.0","Tau1","4","10","1",924.817827521245,9.55808840574574e-17
"117","Tau2.10.0","Tau2","5","10","1",1361373.05856848,3.73314736481041e-11
"118","NPQ.10.0","NPQ","6","10","1",0.355397119044181,4.48122811949956e-88
"119","qP.10.0","qP","7","10","1",0.716892400429674,4.75848573505192e-63
"120","ABQ.10.0","ABQ","8","10","1",0.0954319979095031,6.83253290147888e-40
"121","qm.10.0","qm","9","10","1",0.314069646089418,2.37924286752596e-63
"122","nTau1.10.0","nTau1","10","10","1",1.69418590917582,9.55808840574574e-17
"123","nTau2.10.0","nTau2","11","10","1",0.923448022260031,3.73314736481041e-11
"124","nCon.10.0","nCon","12","10","1",0.379509526857165,0.0460573746609615
"125","Fm.10.0","Fm","13","10","1",2330.05143191268,4.48122811949956e-88
"126","Fo.10.0","Fo","14","10","1",1782.23879275263,4.75848573505192e-63
"127","Quant.11.0","Quant","1","11","1",0.244115383809079,5.96505109591595e-64
"128","Sigma.11.0","Sigma","2","11","1",3.98497694041651,1.27947656041843e-41
"129","Connect.11.0","Connect","3","11","1",0.113263287263209,0.00128468837826269
"130","Tau1.11.0","Tau1","4","11","1",936.199930098371,4.9744616827728e-17
"131","Tau2.11.0","Tau2","5","11","1",1335717.65598266,1.61675707811662e-10
"132","NPQ.11.0","NPQ","6","11","1",0.361440730082599,1.08100924987571e-88
"133","qP.11.0","qP","7","11","1",0.731901887169672,1.19301021918319e-63
"134","ABQ.11.0","ABQ","8","11","1",0.10517192964672,1.27947656041843e-41
"135","qm.11.0","qm","9","11","1",0.287789077068172,5.96505109591595e-64
"136","nTau1.11.0","nTau1","10","11","1",1.71503693218718,4.9744616827728e-17
"137","nTau2.11.0","nTau2","11","11","1",0.90604542226803,1.61675707811662e-10
"138","nCon.11.0","nCon","12","11","1",0.564063210179179,0.00128468837826269
"139","Fm.11.0","Fm","13","11","1",2319.70803300971,1.08100924987571e-88
"140","Fo.11.0","Fo","14","11","1",1753.43161620654,1.19301021918319e-63
"141","Quant.12.0","Quant","1","12","1",0.252369352060849,3.70153652693989e-63
"142","Sigma.12.0","Sigma","2","12","1",3.90403707700147,2.34644457319092e-41
"143","Connect.12.0","Connect","3","12","1",0.0962478330709389,0.00677099920735846
"144","Tau1.12.0","Tau1","4","12","1",924.743742019135,2.50691895144779e-17
"145","Tau2.12.0","Tau2","5","12","1",1222129.94201569,1.82031934486787e-11
"146","NPQ.12.0","NPQ","6","12","1",0.365775272311657,9.17799967906622e-88
"147","qP.12.0","qP","7","12","1",0.744745802695096,7.40307305387979e-63
"148","ABQ.12.0","ABQ","8","12","1",0.123347006410593,2.34644457319092e-41
"149","qm.12.0","qm","9","12","1",0.263707979618613,3.70153652693989e-63
"150","nTau1.12.0","nTau1","10","12","1",1.69405019097271,2.50691895144779e-17
"151","nTau2.12.0","nTau2","11","12","1",0.828996483216649,1.82031934486787e-11
"152","nCon.12.0","nCon","12","12","1",0.479324439600812,0.00677099920735846
"153","Fm.12.0","Fm","13","12","1",2312.34600747593,9.17799967906622e-88
"154","Fo.12.0","Fo","14","12","1",1728.78074382874,7.40307305387979e-63
"155","Quant.13.0","Quant","1","13","1",0.254751551280669,6.25605516263819e-63
"156","Sigma.13.0","Sigma","2","13","1",3.93755436465927,1.77123517613812e-41
"157","Connect.13.0","Connect","3","13","1",0.104795761371412,0.00306543723665641
"158","Tau1.13.0","Tau1","4","13","1",951.567913061831,4.81196178669833e-17
"159","Tau2.13.0","Tau2","5","13","1",1264764.2478878,2.30930460014973e-10
"160","NPQ.13.0","NPQ","6","13","1",0.36641409497051,9.73285500946104e-88
"161","qP.13.0","qP","7","13","1",0.748035671639182,1.25121103252764e-62
"162","ABQ.13.0","ABQ","8","13","1",0.115820686864271,1.77123517613812e-41
"163","qm.13.0","qm","9","13","1",0.256757871524308,6.25605516263819e-63
"164","nTau1.13.0","nTau1","10","13","1",1.7431897417615,4.81196178669833e-17
