"","uni","metric","metrix","stage","col","ASnormalized.t7_ahya1.002r","pval"
"261","qm.20.0","qm","9","20","1",0.848689936668533,1.17009071956568e-78
"262","nTau1.20.0","nTau1","10","20","1",1.80744602892266,3.59661993691283e-11
"263","nTau2.20.0","nTau2","11","20","1",13.3973490935493,0.000822886860872107
"264","nCon.20.0","nCon","12","20","1",0.999533277448654,2.63646708406908e-06
"265","Fm.20.0","Fm","13","20","1",2634.56491379059,4.59558426484557e-95
"266","Fo.20.0","Fo","14","20","1",2477.11554221315,2.34018143913135e-78
"267","Quant.21.0","Quant","1","21","1",0.0583419306694873,8.29185825259847e-80
"268","Sigma.21.0","Sigma","2","21","1",3.65973158781888,1.07225196961391e-30
"269","Connect.21.0","Connect","3","21","1",0.218812037354125,0.000261913379707323
"270","Tau1.21.0","Tau1","4","21","1",1240.96770155917,1.85221253857098e-13
"271","Tau2.21.0","Tau2","5","21","1",8788783.51077641,0.000141975826449248
"272","NPQ.21.0","NPQ","6","21","1",0.428470732453031,5.40559135037642e-98
"273","qP.21.0","qP","7","21","1",0.709095530994501,1.65837165051969e-79
"274","ABQ.21.0","ABQ","8","21","1",0.194114625060578,1.07225196961391e-30
"275","qm.21.0","qm","9","21","1",0.852287726691235,8.29185825259847e-80
"276","nTau1.21.0","nTau1","10","21","1",1.96784273476252,1.85221253857098e-13
"277","nTau2.21.0","nTau2","11","21","1",13.227654660213,0.000141975826449248
"278","nCon.21.0","nCon","12","21","1",0.696800152911258,0.000261913379707323
"279","Fm.21.0","Fm","13","21","1",2543.51014786439,5.40559135037642e-98
"280","Fo.21.0","Fo","14","21","1",2395.11685516055,1.65837165051969e-79
"281","Quant.22.0","Quant","1","22","1",0.0655435538782543,1.10619422637165e-79
"282","Sigma.22.0","Sigma","2","22","1",3.73527551577447,2.64307915401048e-33
"283","Connect.22.0","Connect","3","22","1",0.361514455351209,6.39704798476792e-11
"284","Tau1.22.0","Tau1","4","22","1",1230.48558502374,3.05274200437266e-12
"285","Tau2.22.0","Tau2","5","22","1",8979796.2959109,0.000363915401907373
"286","NPQ.22.0","NPQ","6","22","1",0.455530519306219,5.8134614258339e-98
"287","qP.22.0","qP","7","22","1",0.744890399472509,2.21238845274329e-79
"288","ABQ.22.0","ABQ","8","22","1",0.177479594527869,2.64307915401048e-33
"289","qm.22.0","qm","9","22","1",0.834054388790464,1.10619422637165e-79
"290","nTau1.22.0","nTau1","10","22","1",1.95122090258811,3.05274200437266e-12
"291","nTau2.22.0","nTau2","11","22","1",13.515140539726,0.000363915401907373
"292","nCon.22.0","nCon","12","22","1",1.15123158128943,6.39704798476792e-11
"293","Fm.22.0","Fm","13","22","1",2496.22371755791,5.8134614258339e-98
"294","Fo.22.0","Fo","14","22","1",2332.61234383398,2.21238845274329e-79
"295","Quant.23.0","Quant","1","23","1",0.201551515074939,2.18768045917739e-70
"296","Sigma.23.0","Sigma","2","23","1",4.93581607967359,4.50954879455355e-46
"297","Connect.23.0","Connect","3","23","1",0.281490499200182,1.28566000565775e-14
"298","Tau1.23.0","Tau1","4","23","1",1184.27778248265,1.35588424530041e-18
"299","Tau2.23.0","Tau2","5","23","1",1824218.39250368,3.32377773763611e-13
"300","NPQ.23.0","NPQ","6","23","1",0.537258175309322,8.27251774049716e-94
"301","qP.23.0","qP","7","23","1",1,4.37536091835478e-70
"302","ABQ.23.0","ABQ","8","23","1",-0.0868835313603984,4.50954879455355e-46
"303","qm.23.0","qm","9","23","1",0.489704366329524,2.18768045917739e-70
"304","nTau1.23.0","nTau1","10","23","1",1.87794769136304,1.35588424530041e-18
"305","nTau2.23.0","nTau2","11","23","1",2.74555982534561,3.32377773763611e-13
"306","nCon.23.0","nCon","12","23","1",0.89639777252435,1.28566000565775e-14
"307","Fm.23.0","Fm","13","23","1",2363.5130795063,8.27251774049716e-94
"308","Fo.23.0","Fo","14","23","1",1887.14343743237,4.37536091835478e-70
"309","Quant.24.0","Quant","1","24","1",0.215099315680525,2.50640660015915e-69
"310","Sigma.24.0","Sigma","2","24","1",4.94398110601278,2.84610382194655e-46
"311","Connect.24.0","Connect","3","24","1",0.243969693207429,2.95625514513732e-12
"312","Tau1.24.0","Tau1","4","24","1",1203.16613678695,2.8843266959808e-16
"313","Tau2.24.0","Tau2","5","24","1",1712617.32221514,1.65261350682158e-10
"314","NPQ.24.0","NPQ","6","24","1",0.460532557868518,6.1226099189248e-93
"315","qP.24.0","qP","7","24","1",0.962527430927072,5.01281320031829e-69
"316","ABQ.24.0","ABQ","8","24","1",-0.0886814980021733,2.84610382194655e-46
"317","qm.24.0","qm","9","24","1",0.455403540100071,2.50640660015915e-69
"318","nTau1.24.0","nTau1","10","24","1",1.90789956742125,2.8843266959808e-16
"319","nTau2.24.0","nTau2","11","24","1",2.57759341501397,1.65261350682158e-10
"320","nCon.24.0","nCon","12","24","1",0.776913928448662,2.95625514513732e-12
"321","Fm.24.0","Fm","13","24","1",2487.67463919052,6.1226099189248e-93
"322","Fo.24.0","Fo","14","24","1",1952.57752666484,5.01281320031829e-69
"323","Quant.25.0","Quant","1","25","1",0.221842047139788,1.82992893265872e-70
"324","Sigma.25.0","Sigma","2","25","1",5.13706502392659,7.06662764828758e-48
"325","Connect.25.0","Connect","3","25","1",0.229735451275494,1.24635086549079e-12
"326","Tau1.25.0","Tau1","4","25","1",1227.97106685036,5.0376187430042e-17
"327","Tau2.25.0","Tau2","5","25","1",1576400.81878272,9.94195106220048e-12
"328","NPQ.25.0","NPQ","6","25","1",0.426659760368833,7.698907278341e-95
"329","qP.25.0","qP","7","25","1",0.945812408071545,3.65985786531745e-70
"330","ABQ.25.0","ABQ","8","25","1",-0.131199235122746,7.06662764828758e-48
"331","qm.25.0","qm","9","25","1",0.438332041424431,1.82992893265872e-70
"332","nTau1.25.0","nTau1","10","25","1",1.94723354956296,5.0376187430042e-17
"333","nTau2.25.0","nTau2","11","25","1",2.37257927804991,9.94195106220048e-12
"334","nCon.25.0","nCon","12","25","1",0.731585426074287,1.24635086549079e-12
"335","Fm.25.0","Fm","13","25","1",2546.73882648954,7.698907278341e-95
"336","Fo.25.0","Fo","14","25","1",1981.76507169072,3.65985786531745e-70
"337","Quant.26.0","Quant","1","26","1",0.228270269817141,8.25279578165716e-68
"338","Sigma.26.0","Sigma","2","26","1",5.17988412856808,2.32348439439346e-46
"339","Connect.26.0","Connect","3","26","1",0.24340523161967,4.52237540116422e-12
"340","Tau1.26.0","Tau1","4","26","1",1219.31644258214,1.6236077238037e-16
