"","uni","metric","metrix","stage","col","ASnormalized.icra2.002r","pval"
"233","qm.18.0","qm","9","18","1",0.791116925281912,1.53317657018225e-77
"234","nTau1.18.0","nTau1","10","18","1",1.77518261186222,5.0020152545587e-13
"235","nTau2.18.0","nTau2","11","18","1",5.453857776903,0.000516276765054751
"236","nCon.18.0","nCon","12","18","1",1.72873898063328,1.18617312360619e-09
"237","Fm.18.0","Fm","13","18","1",2235.55884603836,1.81090460458672e-93
"238","Fo.18.0","Fo","14","18","1",2106.08415131991,3.0663531403645e-77
"239","Quant.19.0","Quant","1","19","1",0.05066294613977,3.86723907733262e-77
"240","Sigma.19.0","Sigma","2","19","1",3.43034261490629,3.92573918212692e-26
"241","Connect.19.0","Connect","3","19","1",0.267729847532955,0.000344290464045139
"242","Tau1.19.0","Tau1","4","19","1",1421.15274255021,3.33763325163456e-13
"243","Tau2.19.0","Tau2","5","19","1",9234291.66095274,0.000251501673867853
"244","NPQ.19.0","NPQ","6","19","1",0.178380220129354,2.43498812585533e-94
"245","qP.19.0","qP","7","19","1",0.509133961457545,7.73447815466524e-77
"246","ABQ.19.0","ABQ","8","19","1",0.344527589401148,3.92573918212692e-26
"247","qm.19.0","qm","9","19","1",0.817276290530537,3.86723907733262e-77
"248","nTau1.19.0","nTau1","10","19","1",1.76809675027514,3.33763325163456e-13
"249","nTau2.19.0","nTau2","11","19","1",4.32045435739081,0.000251501673867853
"250","nCon.19.0","nCon","12","19","1",1.06310583599983,0.000344290464045139
"251","Fm.19.0","Fm","13","19","1",2166.03778205916,2.43498812585533e-94
"252","Fo.19.0","Fo","14","19","1",2056.29992656999,7.73447815466524e-77
"253","Quant.20.0","Quant","1","20","1",0.0581439695299682,5.27413586152185e-78
"254","Sigma.20.0","Sigma","2","20","1",3.55496666368687,1.37632149326714e-28
"255","Connect.20.0","Connect","3","20","1",0.295631195623602,1.18237644026125e-05
"256","Tau1.20.0","Tau1","4","20","1",1087.31590407449,3.81533090510842e-13
"257","Tau2.20.0","Tau2","5","20","1",9926909.66739624,0.00068098391572199
"258","NPQ.20.0","NPQ","6","20","1",0.207892111142986,4.57481289364331e-95
"259","qP.20.0","qP","7","20","1",0.576915980219036,1.05482717230437e-77
"260","ABQ.20.0","ABQ","8","20","1",0.320714333746209,1.37632149326714e-28
"261","qm.20.0","qm","9","20","1",0.790294828759371,5.27413586152185e-78
"262","nTau1.20.0","nTau1","10","20","1",1.35276079689137,3.81533090510842e-13
"263","nTau2.20.0","nTau2","11","20","1",4.64451001794566,0.00068098391572199
"264","nCon.20.0","nCon","12","20","1",1.17389694226145,1.18237644026125e-05
"265","Fm.20.0","Fm","13","20","1",2113.11594378749,4.57481289364331e-95
"266","Fo.20.0","Fo","14","20","1",1990.25099473862,1.05482717230437e-77
"267","Quant.21.0","Quant","1","21","1",0.0589695127104412,1.72127119459409e-79
"268","Sigma.21.0","Sigma","2","21","1",3.97969381091386,1.49307374670679e-30
"269","Connect.21.0","Connect","3","21","1",0.178111718326193,0.00321176939077258
"270","Tau1.21.0","Tau1","4","21","1",1072.67084604582,4.30516840483324e-14
"271","Tau2.21.0","Tau2","5","21","1",9129704.94797094,8.55281163652747e-05
"272","NPQ.21.0","NPQ","6","21","1",0.247472355603959,4.84795095959629e-99
