"","uni","metric","metrix","stage","col","ASnormalized.ahya3.002r","pval"
"1238","NPQ.12.3","NPQ","6","12","4",0.295231412239791,1.37301054073904e-114
"1239","qP.12.3","qP","7","12","4",0.668927436204208,4.5691005800452e-89
"1240","ABQ.12.3","ABQ","8","12","4",-0.191565083072622,2.40250198082021e-48
"1241","qm.12.3","qm","9","12","4",0.675546740325767,2.2845502900226e-89
"1242","nTau1.12.3","nTau1","10","12","4",1.95020445144663,2.85512936800388e-18
"1243","nTau2.12.3","nTau2","11","12","4",3.94465096528837,1.72391271403299e-07
"1244","nCon.12.3","nCon","12","12","4",0.654136696539068,2.2673086182467e-13
"1245","Fm.12.3","Fm","13","12","4",2167.04783782136,1.37301054073904e-114
"1246","Fo.12.3","Fo","14","12","4",1907.08339032998,4.5691005800452e-89
"1247","Quant.13.3","Quant","1","13","4",0.125404587962161,1.17473530363278e-84
"1248","Sigma.13.3","Sigma","2","13","4",3.92368364587043,4.73312680950908e-44
"1249","Connect.13.3","Connect","3","13","4",0.204697545520033,2.12118263507107e-07
"1250","Tau1.13.3","Tau1","4","13","4",1340.92715748781,1.84692180273491e-18
"1251","Tau2.13.3","Tau2","5","13","4",4095349.73624763,2.64419190315556e-06
"1252","NPQ.13.3","NPQ","6","13","4",0.287570253371369,1.58249732470228e-109
"1253","qP.13.3","qP","7","13","4",0.669311172629362,2.34947060726556e-84
"1254","ABQ.13.3","ABQ","8","13","4",-0.137401149951374,4.73312680950908e-44
"1255","qm.13.3","qm","9","13","4",0.660827910032721,1.17473530363278e-84
"1256","nTau1.13.3","nTau1","10","13","4",2.02817170379431,1.84692180273491e-18
"1257","nTau2.13.3","nTau2","11","13","4",4.23051571116275,2.64419190315556e-06
"1258","nCon.13.3","nCon","12","13","4",0.50835376763746,2.12118263507107e-07
"1259","Fm.13.3","Fm","13","13","4",2179.94196745627,1.58249732470228e-109
"1260","Fo.13.3","Fo","14","13","4",1906.56724324599,2.34947060726556e-84
"1261","Quant.14.3","Quant","1","14","4",0.12582838569312,3.69159191291763e-83
"1262","Sigma.14.3","Sigma","2","14","4",3.99367439734353,1.22143695413352e-43
"1263","Connect.14.3","Connect","3","14","4",0.310895315285888,4.68233089711035e-13
"1264","Tau1.14.3","Tau1","4","14","4",1354.5001421091,3.56423704791397e-17
"1265","Tau2.14.3","Tau2","5","14","4",3386149.97323806,3.98461989289352e-07
"1266","NPQ.14.3","NPQ","6","14","4",0.289912936041603,3.98853840062825e-108
"1267","qP.14.3","qP","7","14","4",0.672571110206379,7.38318382583526e-83
"1268","ABQ.14.3","ABQ","8","14","4",-0.157690135607811,1.22143695413352e-43
"1269","qm.14.3","qm","9","14","4",0.659681697087336,3.69159191291763e-83
"1270","nTau1.14.3","nTau1","10","14","4",2.04870103918082,3.56423704791397e-17
"1271","nTau2.14.3","nTau2","11","14","4",3.49790899061588,3.98461989289352e-07
"1272","nCon.14.3","nCon","12","14","4",0.772089398848947,4.68233089711035e-13
"1273","Fm.14.3","Fm","13","14","4",2175.9828535296,3.98853840062825e-108
"1274","Fo.14.3","Fo","14","14","4",1902.18244377406,7.38318382583526e-83
