"","uni","metric","metrix","stage","col","ASnormalized.t3_aabr2.002r","pval"
"157","Connect.13.0","Connect","3","13","1",0.247903916531507,1.93993986881915e-08
"158","Tau1.13.0","Tau1","4","13","1",1351.83860296271,8.12446172401399e-21
"159","Tau2.13.0","Tau2","5","13","1",3642030.61623607,1.33563723464386e-09
"160","NPQ.13.0","NPQ","6","13","1",0.36098380804716,1.04515322188697e-95
"161","qP.13.0","qP","7","13","1",0.699680394945585,1.37226383057126e-73
"162","ABQ.13.0","ABQ","8","13","1",-0.100536781512452,2.95302618000311e-38
"163","qm.13.0","qm","9","13","1",0.686008932918612,6.8613191528563e-74
"164","nTau1.13.0","nTau1","10","13","1",2.25491013505486,8.12446172401399e-21
"165","nTau2.13.0","nTau2","11","13","1",3.61966371052098,1.33563723464386e-09
"166","nCon.13.0","nCon","12","13","1",0.76426707597626,1.93993986881915e-08
"167","Fm.13.0","Fm","13","13","1",2551.51974497495,1.04515322188697e-95
"168","Fo.13.0","Fo","14","13","1",2247.91696689629,1.37226383057126e-73
"169","Quant.14.0","Quant","1","14","1",0.127868506095906,1.13573421058829e-74
"170","Sigma.14.0","Sigma","2","14","1",4.45724964080677,4.26793169890745e-40
"171","Connect.14.0","Connect","3","14","1",0.260807108079277,4.07277017743323e-10
"172","Tau1.14.0","Tau1","4","14","1",1389.43707403261,6.50507468931593e-19
"173","Tau2.14.0","Tau2","5","14","1",3763995.05047893,2.57005979913999e-07
"174","NPQ.14.0","NPQ","6","14","1",0.347586503963594,3.86336026819956e-96
"175","qP.14.0","qP","7","14","1",0.69998511743331,2.27146842117658e-74
"176","ABQ.14.0","ABQ","8","14","1",-0.0774018533152703,4.26793169890745e-40
"177","qm.14.0","qm","9","14","1",0.66257747088089,1.13573421058829e-74
"178","nTau1.14.0","nTau1","10","14","1",2.31762559035572,6.50507468931593e-19
"179","nTau2.14.0","nTau2","11","14","1",3.74087912113149,2.57005979913999e-07
"180","nCon.14.0","nCon","12","14","1",0.804046538168512,4.07277017743323e-10
"181","Fm.14.0","Fm","13","14","1",2576.88619514205,3.86336026819956e-96
"182","Fo.14.0","Fo","14","14","1",2247.38360699008,2.27146842117658e-74
"183","Quant.15.0","Quant","1","15","1",0.132795916795553,1.20941023478146e-76
"184","Sigma.15.0","Sigma","2","15","1",4.51379733896666,5.81989292968572e-43
"185","Connect.15.0","Connect","3","15","1",0.253799502920358,1.48641186281247e-11
"186","Tau1.15.0","Tau1","4","15","1",1327.93962187455,1.04868120096659e-18
"187","Tau2.15.0","Tau2","5","15","1",3337451.06543937,5.37680906630678e-08
"188","NPQ.15.0","NPQ","6","15","1",0.345224201197768,2.57856500525546e-98
"189","qP.15.0","qP","7","15","1",0.704997430520893,2.41882046956291e-76
"190","ABQ.15.0","ABQ","8","15","1",-0.0910705054455878,5.81989292968572e-43
"191","qm.15.0","qm","9","15","1",0.649574899481203,1.20941023478146e-76
"192","nTau1.15.0","nTau1","10","15","1",2.21504586830357,1.04868120096659e-18
"193","nTau2.15.0","nTau2","11","15","1",3.31695468274104,5.37680906630678e-08
"194","nCon.15.0","nCon","12","15","1",0.782442676562224,1.48641186281247e-11
"195","Fm.15.0","Fm","13","15","1",2581.41137791871,2.57856500525546e-98
"196","Fo.15.0","Fo","14","15","1",2238.61048736153,2.41882046956291e-76
"197","Quant.16.0","Quant","1","16","1",0.0499352997874377,3.09539810422388e-79
"198","Sigma.16.0","Sigma","2","16","1",3.10724695318055,4.09849532699319e-29
"199","Connect.16.0","Connect","3","16","1",0.438425818215413,7.92457772997995e-12
"200","Tau1.16.0","Tau1","4","16","1",1473.98359832263,4.16742309370227e-12
"201","Tau2.16.0","Tau2","5","16","1",7227934.49010824,4.0986595914583e-07
"202","NPQ.16.0","NPQ","6","16","1",0.281817898033888,3.00933918860699e-95
"203","qP.16.0","qP","7","16","1",0.51348151949475,6.19079620844777e-79
"204","ABQ.16.0","ABQ","8","16","1",0.24891942434281,4.09849532699319e-29
"205","qm.16.0","qm","9","16","1",0.868229514357816,3.09539810422388e-79
"206","nTau1.16.0","nTau1","10","16","1",2.45865190376872,4.16742309370227e-12
"207","nTau2.16.0","nTau2","11","16","1",7.18354537142967,4.0986595914583e-07
"208","nCon.16.0","nCon","12","16","1",1.35163019127779,7.92457772997995e-12
"209","Fm.16.0","Fm","13","16","1",2709.10326977797,3.00933918860699e-95
"210","Fo.16.0","Fo","14","16","1",2573.82338584648,6.19079620844777e-79
"211","Quant.17.0","Quant","1","17","1",0.0486533756505644,3.42023610756506e-83
"212","Sigma.17.0","Sigma","2","17","1",3.24216486179407,5.31682444182617e-31
"213","Connect.17.0","Connect","3","17","1",0.310139212202383,2.11902804201121e-07
"214","Tau1.17.0","Tau1","4","17","1",2013.28205654569,6.02978198624493e-11
"215","Tau2.17.0","Tau2","5","17","1",13781003.9400417,0.0144097185582293
"216","NPQ.17.0","NPQ","6","17","1",0.334511004626061,4.65723694237481e-99
"217","qP.17.0","qP","7","17","1",0.569638063336919,6.84047221513012e-83
"218","ABQ.17.0","ABQ","8","17","1",0.216307204588542,5.31682444182617e-31
"219","qm.17.0","qm","9","17","1",0.871612287001442,3.42023610756506e-83
"220","nTau1.17.0","nTau1","10","17","1",3.35821902413462,6.02978198624493e-11
"221","nTau2.17.0","nTau2","11","17","1",13.6963702704586,0.0144097185582293
"222","nCon.17.0","nCon","12","17","1",0.956133296205393,2.11902804201121e-07
"223","Fm.17.0","Fm","13","17","1",2602.1344498366,4.65723694237481e-99
"224","Fo.17.0","Fo","14","17","1",2475.53182495543,6.84047221513012e-83
"225","Quant.18.0","Quant","1","18","1",0.0507799425134567,6.95193260517057e-82
"226","Sigma.18.0","Sigma","2","18","1",3.40077739967494,1.92382078822574e-29
"227","Connect.18.0","Connect","3","18","1",0.408561106326729,1.36279428172932e-09
"228","Tau1.18.0","Tau1","4","18","1",1390.09472781015,1.44030559633262e-10
"229","Tau2.18.0","Tau2","5","18","1",9607664.50308194,0.000643285758190881
"230","NPQ.18.0","NPQ","6","18","1",0.360065313535821,6.59805228001093e-97
"231","qP.18.0","qP","7","18","1",0.599314165892603,1.39038652103411e-81
"232","ABQ.18.0","ABQ","8","18","1",0.177967543128395,1.92382078822574e-29
"233","qm.18.0","qm","9","18","1",0.866000650554546,6.95193260517057e-82
"234","nTau1.18.0","nTau1","10","18","1",2.31872257794364,1.44030559633262e-10
"235","nTau2.18.0","nTau2","11","18","1",9.54866068111387,0.000643285758190881
"236","nCon.18.0","nCon","12","18","1",1.25955977807342,1.36279428172932e-09
"237","Fm.18.0","Fm","13","18","1",2553.24286581188,6.59805228001093e-97
"238","Fo.18.0","Fo","14","18","1",2423.58933986306,1.39038652103411e-81
"239","Quant.19.0","Quant","1","19","1",0.0535996565283686,3.06232330293666e-79
"240","Sigma.19.0","Sigma","2","19","1",3.39035108024461,9.92624611471733e-29
"241","Connect.19.0","Connect","3","19","1",0.376386839911237,1.9963001804137e-08
"242","Tau1.19.0","Tau1","4","19","1",1335.1740838786,1.42168027779008e-14
"243","Tau2.19.0","Tau2","5","19","1",10444864.8439833,2.74107413853356e-06
"244","NPQ.19.0","NPQ","6","19","1",0.388097448603345,2.38986872536297e-95
"245","qP.19.0","qP","7","19","1",0.631307033942549,6.12464660587332e-79
"246","ABQ.19.0","ABQ","8","19","1",0.180487782464926,9.92624611471733e-29
"247","qm.19.0","qm","9","19","1",0.858559920515903,3.06232330293666e-79
"248","nTau1.19.0","nTau1","10","19","1",2.2271131828919,1.42168027779008e-14
"249","nTau2.19.0","nTau2","11","19","1",10.3807194998638,2.74107413853356e-06
"250","nCon.19.0","nCon","12","19","1",1.16036920109871,1.9963001804137e-08
