"","uni","metric","metrix","stage","col","ASnormalized.t10_icra3.002r","pval"
"187","Tau2.15.0","Tau2","5","15","1",2673281.5953865,5.56184382044911e-09
"188","NPQ.15.0","NPQ","6","15","1",0.265504511502495,2.05262410669468e-95
"189","qP.15.0","qP","7","15","1",0.687169163249048,1.12401545895032e-72
"190","ABQ.15.0","ABQ","8","15","1",-0.0231894118361828,4.52785755501332e-41
"191","qm.15.0","qm","9","15","1",0.599011982874213,5.62007729475158e-73
"192","nTau1.15.0","nTau1","10","15","1",1.91159365532154,1.0862101620316e-17
"193","nTau2.15.0","nTau2","11","15","1",2.57846727006696,5.56184382044911e-09
"194","nCon.15.0","nCon","12","15","1",0.783703604824418,3.37988004719546e-09
"195","Fm.15.0","Fm","13","15","1",2479.60814489081,2.05262410669468e-95
"196","Fo.15.0","Fo","14","15","1",2126.47988366145,1.12401545895032e-72
"197","Quant.16.0","Quant","1","16","1",0.0551491426152565,6.82952646051959e-79
"198","Sigma.16.0","Sigma","2","16","1",3.41532330302272,1.35223461409877e-29
"199","Connect.16.0","Connect","3","16","1",0.416394022471175,7.95578164449473e-11
"200","Tau1.16.0","Tau1","4","16","1",1219.55672183106,1.43804353625298e-11
"201","Tau2.16.0","Tau2","5","16","1",7482877.4285533,3.91891406623042e-06
"202","NPQ.16.0","NPQ","6","16","1",0.232599615298658,1.42666012007811e-95
"203","qP.16.0","qP","7","16","1",0.497675790284832,1.36590529210392e-78
"204","ABQ.16.0","ABQ","8","16","1",0.257309001650104,1.35223461409877e-29
"205","qm.16.0","qm","9","16","1",0.844718135217803,6.82952646051959e-79
"206","nTau1.16.0","nTau1","10","16","1",1.87012790156958,1.43804353625298e-11
"207","nTau2.16.0","nTau2","11","16","1",7.21747928416721,3.91891406623042e-06
"208","nCon.16.0","nCon","12","16","1",1.38239032876038,7.95578164449473e-11
"209","Fm.16.0","Fm","13","16","1",2545.8025908578,1.42666012007811e-95
"210","Fo.16.0","Fo","14","16","1",2405.40376070429,1.36590529210392e-78
"211","Quant.17.0","Quant","1","17","1",0.055691838150234,7.08083862787368e-80
"212","Sigma.17.0","Sigma","2","17","1",3.27288199012122,4.5738636044631e-30
"213","Connect.17.0","Connect","3","17","1",0.406153842307667,2.31259222829801e-10
"214","Tau1.17.0","Tau1","4","17","1",1589.86623538927,9.49035511950106e-11
"215","Tau2.17.0","Tau2","5","17","1",10747629.8995931,0.0055838140378767
"216","NPQ.17.0","NPQ","6","17","1",0.278551586628635,2.22705082527723e-95
"217","qP.17.0","qP","7","17","1",0.55731367812631,1.41616772557474e-79
"218","ABQ.17.0","ABQ","8","17","1",0.288284072382488,4.5738636044631e-30
"219","qm.17.0","qm","9","17","1",0.843190082909389,7.08083862787368e-80
"220","nTau1.17.0","nTau1","10","17","1",2.43797861414824,9.49035511950106e-11
"221","nTau2.17.0","nTau2","11","17","1",10.3664395006944,0.0055838140378767
"222","nCon.17.0","nCon","12","17","1",1.34839386085053,2.31259222829801e-10
"223","Fm.17.0","Fm","13","17","1",2454.3047984415,2.22705082527723e-95
"224","Fo.17.0","Fo","14","17","1",2317.62005283535,1.41616772557474e-79
"225","Quant.18.0","Quant","1","18","1",0.0538986894202423,3.66000739673951e-77
"226","Sigma.18.0","Sigma","2","18","1",3.54554394775386,2.24356365022595e-27
"227","Connect.18.0","Connect","3","18","1",0.320382554849415,4.6791720242772e-06
"228","Tau1.18.0","Tau1","4","18","1",1584.53450855301,3.03852712097749e-15
"229","Tau2.18.0","Tau2","5","18","1",10202005.4391088,0.00020614074084034
"230","NPQ.18.0","NPQ","6","18","1",0.307012522563623,9.5800891044256e-95
"231","qP.18.0","qP","7","18","1",0.588675159741314,7.32001479347903e-77
"232","ABQ.18.0","ABQ","8","18","1",0.228991418785975,2.24356365022595e-27
"233","qm.18.0","qm","9","18","1",0.848239000542932,3.66000739673951e-77
"234","nTau1.18.0","nTau1","10","18","1",2.42980268354859,3.03852712097749e-15
"235","nTau2.18.0","nTau2","11","18","1",9.8401669166409,0.00020614074084034
"236","nCon.18.0","nCon","12","18","1",1.06364097807872,4.6791720242772e-06
"237","Fm.18.0","Fm","13","18","1",2400.86092515988,9.5800891044256e-95
"238","Fo.18.0","Fo","14","18","1",2271.45766781349,7.32001479347903e-77
"239","Quant.19.0","Quant","1","19","1",0.0598333319903871,4.39748698404146e-80
"240","Sigma.19.0","Sigma","2","19","1",3.50146998414953,1.00757241911582e-29
"241","Connect.19.0","Connect","3","19","1",0.266655737433522,5.73428452521034e-05
"242","Tau1.19.0","Tau1","4","19","1",1034.19175029803,1.78148662131864e-13
"243","Tau2.19.0","Tau2","5","19","1",7501063.40944964,9.59878174870894e-06
"244","NPQ.19.0","NPQ","6","19","1",0.338317925769708,6.26048962777056e-96
"245","qP.19.0","qP","7","19","1",0.634225766374422,8.79497396808292e-80
"246","ABQ.19.0","ABQ","8","19","1",0.238575675714614,1.00757241911582e-29
"247","qm.19.0","qm","9","19","1",0.831528997061337,4.39748698404146e-80
"248","nTau1.19.0","nTau1","10","19","1",1.58588019169915,1.78148662131864e-13
"249","nTau2.19.0","nTau2","11","19","1",7.23502025575667,9.59878174870894e-06
"250","nCon.19.0","nCon","12","19","1",0.885272824880875,5.73428452521034e-05
"251","Fm.19.0","Fm","13","19","1",2344.70093667236,6.26048962777056e-96
"252","Fo.19.0","Fo","14","19","1",2204.40966711027,8.79497396808292e-80
"253","Quant.20.0","Quant","1","20","1",0.0640314002549465,5.74309098643068e-81
"254","Sigma.20.0","Sigma","2","20","1",3.67730369854783,1.29692769247067e-33
"255","Connect.20.0","Connect","3","20","1",0.274991179005857,1.96347049782812e-07
"256","Tau1.20.0","Tau1","4","20","1",940.43946776681,3.23482774157922e-09
"257","Tau2.20.0","Tau2","5","20","1",8183990.37785684,0.000412817478043737
"258","NPQ.20.0","NPQ","6","20","1",0.364551795300617,4.30902717889484e-99
"259","qP.20.0","qP","7","20","1",0.669576493166911,1.14861819728614e-80
"260","ABQ.20.0","ABQ","8","20","1",0.200339144264,1.29692769247067e-33
"261","qm.20.0","qm","9","20","1",0.819708616223296,5.74309098643068e-81
"262","nTau1.20.0","nTau1","10","20","1",1.44211585810241,3.23482774157922e-09
"263","nTau2.20.0","nTau2","11","20","1",7.8937255859108,0.000412817478043737
"264","nCon.20.0","nCon","12","20","1",0.912945733697286,1.96347049782812e-07
"265","Fm.20.0","Fm","13","20","1",2299.62344040326,4.30902717889484e-99
"266","Fo.20.0","Fo","14","20","1",2152.37533145514,1.14861819728614e-80
"267","Quant.21.0","Quant","1","21","1",0.0639231717023583,1.61981289257438e-79
"268","Sigma.21.0","Sigma","2","21","1",3.85056640494363,4.23749919674015e-33
"269","Connect.21.0","Connect","3","21","1",0.321621268244792,4.45974445081654e-09
"270","Tau1.21.0","Tau1","4","21","1",1012.82818221214,1.82064534186381e-16
"271","Tau2.21.0","Tau2","5","21","1",10086697.920178,7.1781965329788e-05
"272","NPQ.21.0","NPQ","6","21","1",0.406507952318462,1.55998944139578e-98
"273","qP.21.0","qP","7","21","1",0.713031867511961,3.23962578514876e-79
"274","ABQ.21.0","ABQ","8","21","1",0.162661700293758,4.23749919674015e-33
"275","qm.21.0","qm","9","21","1",0.82001335226581,1.61981289257438e-79
"276","nTau1.21.0","nTau1","10","21","1",1.55312025192814,1.82064534186381e-16
"277","nTau2.21.0","nTau2","11","21","1",9.72894905464353,7.1781965329788e-05
"278","nCon.21.0","nCon","12","21","1",1.06775339402483,4.45974445081654e-09
"279","Fm.21.0","Fm","13","21","1",2231.02563262803,1.55998944139578e-98
"280","Fo.21.0","Fo","14","21","1",2088.41139804118,3.23962578514876e-79
"281","Quant.22.0","Quant","1","22","1",0.0608616905177666,9.59324356174239e-79
"282","Sigma.22.0","Sigma","2","22","1",3.39650246452123,6.86876055693269e-31
"283","Connect.22.0","Connect","3","22","1",0.328430307293915,4.12567314795376e-08
"284","Tau1.22.0","Tau1","4","22","1",1234.58015944671,3.46669428761971e-13
"285","Tau2.22.0","Tau2","5","22","1",7525123.77900442,5.05937469634809e-05
"286","NPQ.22.0","NPQ","6","22","1",0.441224096753975,1.11906019625747e-95
"287","qP.22.0","qP","7","22","1",0.742679605445513,1.91864871234848e-78
"288","ABQ.22.0","ABQ","8","22","1",0.261401752495707,6.86876055693269e-31
"289","qm.22.0","qm","9","22","1",0.828633477344735,9.59324356174239e-79
"290","nTau1.22.0","nTau1","10","22","1",1.89316557530757,3.46669428761971e-13
"291","nTau2.22.0","nTau2","11","22","1",7.25822726676134,5.05937469634809e-05
"292","nCon.22.0","nCon","12","22","1",1.09035878512482,4.12567314795376e-08
"293","Fm.22.0","Fm","13","22","1",2177.28478255753,1.11906019625747e-95
"294","Fo.22.0","Fo","14","22","1",2044.77154995247,1.91864871234848e-78
"295","Quant.23.0","Quant","1","23","1",0.199057243416704,9.40276903674214e-71
"296","Sigma.23.0","Sigma","2","23","1",4.72698539302661,7.03985976635423e-46
"297","Connect.23.0","Connect","3","23","1",0.255349031950251,5.91496770182259e-13
"298","Tau1.23.0","Tau1","4","23","1",1224.74613067994,7.96073354077322e-19
"299","Tau2.23.0","Tau2","5","23","1",1997342.49606042,1.41696021613449e-11
"300","NPQ.23.0","NPQ","6","23","1",0.508587914178019,1.14409262942415e-93
"301","qP.23.0","qP","7","23","1",1,1.88055380734843e-70
"302","ABQ.23.0","ABQ","8","23","1",-0.0279230366346812,7.03985976635423e-46
"303","qm.23.0","qm","9","23","1",0.439520208468323,9.40276903674214e-71
"304","nTau1.23.0","nTau1","10","23","1",1.87808559480945,7.96073354077322e-19
"305","nTau2.23.0","nTau2","11","23","1",1.9265019675045,1.41696021613449e-11
"306","nCon.23.0","nCon","12","23","1",0.84773558979413,5.91496770182259e-13
"307","Fm.23.0","Fm","13","23","1",2080.06127095842,1.14409262942415e-93
"308","Fo.23.0","Fo","14","23","1",1666.01000822359,1.88055380734843e-70
"309","Quant.24.0","Quant","1","24","1",0.214211272900601,4.66740249949853e-67
"310","Sigma.24.0","Sigma","2","24","1",5.0100197472902,6.63262759002418e-44
"311","Connect.24.0","Connect","3","24","1",0.233268291919084,3.40060381106814e-10
"312","Tau1.24.0","Tau1","4","24","1",1075.351979109,3.03310630024536e-16
"313","Tau2.24.0","Tau2","5","24","1",1760006.37786405,4.14819252421028e-10
"314","NPQ.24.0","NPQ","6","24","1",0.424677307869464,3.6845679240019e-91
"315","qP.24.0","qP","7","24","1",0.956012792854878,9.33480499899706e-67
"316","ABQ.24.0","ABQ","8","24","1",-0.0894712557884294,6.63262759002418e-44
"317","qm.24.0","qm","9","24","1",0.396851440729894,4.66740249949853e-67
"318","nTau1.24.0","nTau1","10","24","1",1.64899729888775,3.03310630024536e-16
"319","nTau2.24.0","nTau2","11","24","1",1.69758354236358,4.14819252421028e-10
"320","nCon.24.0","nCon","12","24","1",0.774429538737478,3.40060381106814e-10
"321","Fm.24.0","Fm","13","24","1",2202.57266454978,3.6845679240019e-91
"322","Fo.24.0","Fo","14","24","1",1730.7567704205,9.33480499899706e-67
"323","Quant.25.0","Quant","1","25","1",0.220117793884155,3.58880602571254e-67
"324","Sigma.25.0","Sigma","2","25","1",4.98462934085597,1.91500355487477e-44
"325","Connect.25.0","Connect","3","25","1",0.206702688429733,4.85753553581906e-09
"326","Tau1.25.0","Tau1","4","25","1",1068.7586221207,1.00006009566126e-17
"327","Tau2.25.0","Tau2","5","25","1",1519236.974927,9.24389445313094e-13
"328","NPQ.25.0","NPQ","6","25","1",0.392108735258778,1.94749769198827e-91
"329","qP.25.0","qP","7","25","1",0.937549207341634,7.17761205142508e-67
"330","ABQ.25.0","ABQ","8","25","1",-0.0839498967163728,1.91500355487477e-44
"331","qm.25.0","qm","9","25","1",0.38022061839599,3.58880602571254e-67
"332","nTau1.25.0","nTau1","10","25","1",1.63888672293166,1.00006009566126e-17
"333","nTau2.25.0","nTau2","11","25","1",1.4653536021365,9.24389445313094e-13
"334","nCon.25.0","nCon","12","25","1",0.686234148411228,4.85753553581906e-09
"335","Fm.25.0","Fm","13","25","1",2254.10215067312,1.94749769198827e-91
"336","Fo.25.0","Fo","14","25","1",1757.93415807742,7.17761205142508e-67
"337","Quant.26.0","Quant","1","26","1",0.226827205066712,1.15488528690107e-64
"338","Sigma.26.0","Sigma","2","26","1",5.09180666492208,4.76752585484953e-43
"339","Connect.26.0","Connect","3","26","1",0.20193938039479,8.96359641768796e-08
"340","Tau1.26.0","Tau1","4","26","1",1125.4263012996,3.90903868628566e-17
"341","Tau2.26.0","Tau2","5","26","1",1468026.53191282,4.12729701135457e-12
