"","uni","metric","metrix","stage","col","ASnormalized.aabr6.005r","pval"
"260","ABQ.20.0","ABQ","8","20","1",0.233201017185114,3.11341386685707e-30
"261","qm.20.0","qm","9","20","1",0.869196624962257,5.63942554997134e-85
"262","nTau1.20.0","nTau1","10","20","1",1.58673732192242,2.11877493440825e-11
"263","nTau2.20.0","nTau2","11","20","1",6.89044597188779,2.63546876851478e-05
"264","nCon.20.0","nCon","12","20","1",1.05422606894112,2.07829583506321e-08
"265","Fm.20.0","Fm","13","20","1",2850.78637814576,8.29438635263917e-99
"266","Fo.20.0","Fo","14","20","1",2719.79318468889,1.12788510999426e-84
"267","Quant.21.0","Quant","1","21","1",0.0468904910804756,5.39431726981863e-82
"268","Sigma.21.0","Sigma","2","21","1",3.11925082642882,3.91628652241352e-29
"269","Connect.21.0","Connect","3","21","1",0.33327754581383,3.28347932702985e-07
"270","Tau1.21.0","Tau1","4","21","1",1318.07365034868,1.09084465331031e-10
"271","Tau2.21.0","Tau2","5","21","1",13950330.2464526,0.00168418676606302
"272","NPQ.21.0","NPQ","6","21","1",0.233204431672774,2.0039958211998e-97
"273","qP.21.0","qP","7","21","1",0.568861629130581,1.07886345396373e-81
"274","ABQ.21.0","ABQ","8","21","1",0.234121201128719,3.91628652241352e-29
"275","qm.21.0","qm","9","21","1",0.866518930981457,5.39431726981863e-82
"276","nTau1.21.0","nTau1","10","21","1",1.86394827532743,1.09084465331031e-10
"277","nTau2.21.0","nTau2","11","21","1",10.3332357374321,0.00168418676606302
"278","nCon.21.0","nCon","12","21","1",0.958524589490448,3.28347932702985e-07
"279","Fm.21.0","Fm","13","21","1",2775.89791272457,2.0039958211998e-97
"280","Fo.21.0","Fo","14","21","1",2645.73469640764,1.07886345396373e-81
"281","Quant.22.0","Quant","1","22","1",0.0456705194404118,2.73614943035802e-83
"282","Sigma.22.0","Sigma","2","22","1",3.07899814402578,2.74724800697577e-30
"283","Connect.22.0","Connect","3","22","1",0.490600702590914,2.68312288885774e-14
"284","Tau1.22.0","Tau1","4","22","1",1057.68564168232,1.21119814793354e-11
"285","Tau2.22.0","Tau2","5","22","1",10983218.6057216,4.152580597129e-05
"286","NPQ.22.0","NPQ","6","22","1",0.266431853868892,5.94300766475945e-98
"287","qP.22.0","qP","7","22","1",0.617236679953474,5.47229886071604e-83
"288","ABQ.22.0","ABQ","8","22","1",0.244004560231802,2.74724800697577e-30
"289","qm.22.0","qm","9","22","1",0.869991769822247,2.73614943035802e-83
"290","nTau1.22.0","nTau1","10","22","1",1.49572167468095,1.21119814793354e-11
"291","nTau2.22.0","nTau2","11","22","1",8.13544805059595,4.152580597129e-05
"292","nCon.22.0","nCon","12","22","1",1.41099465884019,2.68312288885774e-14
"293","Fm.22.0","Fm","13","22","1",2703.06657036876,5.94300766475945e-98
"294","Fo.22.0","Fo","14","22","1",2579.61611601801,5.47229886071604e-83
"295","Quant.23.0","Quant","1","23","1",0.187138097177139,2.73894999375543e-70
"296","Sigma.23.0","Sigma","2","23","1",4.41305402099407,6.24866483966444e-44
"297","Connect.23.0","Connect","3","23","1",0.220057831421699,1.13495409119404e-09
"298","Tau1.23.0","Tau1","4","23","1",1230.95194634957,3.77804479817862e-18
"299","Tau2.23.0","Tau2","5","23","1",2095239.52162636,5.94248047519855e-11
"300","NPQ.23.0","NPQ","6","23","1",0.353116992470615,1.1439728527738e-92
"301","qP.23.0","qP","7","23","1",1,5.47789998751087e-70
"302","ABQ.23.0","ABQ","8","23","1",-0.0835500897574732,6.24866483966444e-44
"303","qm.23.0","qm","9","23","1",0.467282327616707,2.73894999375543e-70
"304","nTau1.23.0","nTau1","10","23","1",1.74074548626495,3.77804479817862e-18
"305","nTau2.23.0","nTau2","11","23","1",1.55197787585389,5.94248047519855e-11
"306","nCon.23.0","nCon","12","23","1",0.632898451086978,1.13495409119404e-09
"307","Fm.23.0","Fm","13","23","1",2529.89920819244,1.1439728527738e-92
"308","Fo.23.0","Fo","14","23","1",2056.45868432135,5.47789998751087e-70
"309","Quant.24.0","Quant","1","24","1",0.197280146862282,4.85348377241058e-69
