"","uni","metric","metrix","stage","col","ASnormalized.t5_aabr1.002r","pval"
"179","nTau2.14.0","nTau2","11","14","1",3.93940919298993,7.22461035423595e-06
"180","nCon.14.0","nCon","12","14","1",0.833135388805987,1.45058768889571e-07
"181","Fm.14.0","Fm","13","14","1",2620.12339482354,1.16802846341518e-92
"182","Fo.14.0","Fo","14","14","1",2297.70407447894,1.44632255705312e-69
"183","Quant.15.0","Quant","1","15","1",0.129361649419999,2.64716287817228e-77
"184","Sigma.15.0","Sigma","2","15","1",4.90556984809962,1.71421406287475e-43
"185","Connect.15.0","Connect","3","15","1",0.25681531162672,6.10956685524294e-12
"186","Tau1.15.0","Tau1","4","15","1",1412.71800589156,9.52837088616651e-18
"187","Tau2.15.0","Tau2","5","15","1",3287061.40435136,7.33186295267368e-08
"188","NPQ.15.0","NPQ","6","15","1",0.237532036446194,6.86032041296233e-100
"189","qP.15.0","qP","7","15","1",0.639332391538573,5.29432575634456e-77
"190","ABQ.15.0","ABQ","8","15","1",-0.185915452840777,1.71421406287475e-43
"191","qm.15.0","qm","9","15","1",0.660543753370127,2.64716287817228e-77
"192","nTau1.15.0","nTau1","10","15","1",2.34771857215184,9.52837088616651e-18
"193","nTau2.15.0","nTau2","11","15","1",3.18744203622922,7.33186295267368e-08
"194","nCon.15.0","nCon","12","15","1",0.79783273607031,6.10956685524294e-12
"195","Fm.15.0","Fm","13","15","1",2622.4837430299,6.86032041296233e-100
"196","Fo.15.0","Fo","14","15","1",2283.23492045442,5.29432575634456e-77
"197","Quant.16.0","Quant","1","16","1",0.0456581937859748,9.53445892417198e-82
"198","Sigma.16.0","Sigma","2","16","1",3.07136165232596,3.80473521802375e-29
"199","Connect.16.0","Connect","3","16","1",0.577841958225289,1.68001078205904e-17
"200","Tau1.16.0","Tau1","4","16","1",1344.29950085051,5.82534391722318e-12
"201","Tau2.16.0","Tau2","5","16","1",7219691.62336457,2.53283597152601e-08
"202","NPQ.16.0","NPQ","6","16","1",0.191452761770338,6.51621695190232e-96
"203","qP.16.0","qP","7","16","1",0.429158494942905,1.90689178483439e-81
"204","ABQ.16.0","ABQ","8","16","1",0.257502113405445,3.80473521802375e-29
"205","qm.16.0","qm","9","16","1",0.880188918740779,9.53445892417198e-82
"206","nTau1.16.0","nTau1","10","16","1",2.23401761110096,5.82534391722318e-12
"207","nTau2.16.0","nTau2","11","16","1",7.00088794765465,2.53283597152601e-08
"208","nCon.16.0","nCon","12","16","1",1.79514697790761,1.68001078205904e-17
"209","Fm.16.0","Fm","13","16","1",2723.90794766935,6.51621695190232e-96
"210","Fo.16.0","Fo","14","16","1",2599.53923073951,1.90689178483439e-81
"211","Quant.17.0","Quant","1","17","1",0.0449619544554613,1.83863649995039e-80
"212","Sigma.17.0","Sigma","2","17","1",3.01572331303211,8.98564233186065e-28
"213","Connect.17.0","Connect","3","17","1",0.357495939798862,1.45087701765256e-07
"214","Tau1.17.0","Tau1","4","17","1",1735.09561613845,1.36110945170069e-10
"215","Tau2.17.0","Tau2","5","17","1",10042120.7919501,0.000842967664294009
"216","NPQ.17.0","NPQ","6","17","1",0.238436374924276,1.29087153373631e-95
"217","qP.17.0","qP","7","17","1",0.493476535894344,3.67727299990078e-80
"218","ABQ.17.0","ABQ","8","17","1",0.270952613221393,8.98564233186065e-28
"219","qm.17.0","qm","9","17","1",0.882015911446514,1.83863649995039e-80
"220","nTau1.17.0","nTau1","10","17","1",2.88346024151982,1.36110945170069e-10
"221","nTau2.17.0","nTau2","11","17","1",9.73777913086156,0.000842967664294009
"222","nCon.17.0","nCon","12","17","1",1.11061120918803,1.45087701765256e-07
"223","Fm.17.0","Fm","13","17","1",2620.56873713618,1.29087153373631e-95
"224","Fo.17.0","Fo","14","17","1",2502.74284492966,3.67727299990078e-80
"225","Quant.18.0","Quant","1","18","1",0.0471593331985436,2.73594443811523e-84
"226","Sigma.18.0","Sigma","2","18","1",3.33321967126183,2.3574406033127e-31
"227","Connect.18.0","Connect","3","18","1",0.363269403318802,1.43715208421096e-09
"228","Tau1.18.0","Tau1","4","18","1",1582.61614514795,7.70396720174061e-16
"229","Tau2.18.0","Tau2","5","18","1",13280697.925284,0.000393335036804606
"230","NPQ.18.0","NPQ","6","18","1",0.259824624679336,4.14213577260804e-100
"231","qP.18.0","qP","7","18","1",0.52547070522709,5.47188887623046e-84
"232","ABQ.18.0","ABQ","8","18","1",0.194198260698788,2.3574406033127e-31
"233","qm.18.0","qm","9","18","1",0.876249798043544,2.73594443811523e-84
"234","nTau1.18.0","nTau1","10","18","1",2.63006297155979,7.70396720174061e-16
"235","nTau2.18.0","nTau2","11","18","1",12.8782062852475,0.000393335036804606
"236","nCon.18.0","nCon","12","18","1",1.12854728226537,1.43715208421096e-09
"237","Fm.18.0","Fm","13","18","1",2576.07891089197,4.14213577260804e-100
"238","Fo.18.0","Fo","14","18","1",2454.59274718747,5.47188887623046e-84
"239","Quant.19.0","Quant","1","19","1",0.0515768556395374,2.42584697689901e-79
"240","Sigma.19.0","Sigma","2","19","1",3.24806351710573,2.44007291624923e-26
"241","Connect.19.0","Connect","3","19","1",0.25818130708672,0.00115819825294539
"242","Tau1.19.0","Tau1","4","19","1",1356.6999574011,3.73901224976991e-11
"243","Tau2.19.0","Tau2","5","19","1",10279809.0974091,0.000302403849152944
