"","uni","metric","metrix","stage","col","ASnormalized.aabr1.005r","pval"
"160","NPQ.13.0","NPQ","6","13","1",0.198070680271825,3.46015309115062e-99
"161","qP.13.0","qP","7","13","1",0.595849478659527,2.06819282457751e-77
"162","ABQ.13.0","ABQ","8","13","1",-0.13036372770677,1.84327109718656e-40
"163","qm.13.0","qm","9","13","1",0.682778656183569,1.03409641228876e-77
"164","nTau1.13.0","nTau1","10","13","1",1.98092837329065,4.71390085412229e-16
"165","nTau2.13.0","nTau2","11","13","1",2.82685688039451,4.04744377517643e-07
"166","nCon.13.0","nCon","12","13","1",0.579856856992155,1.17766098577947e-07
"167","Fm.13.0","Fm","13","13","1",2561.36153516961,3.46015309115062e-99
"168","Fo.13.0","Fo","14","13","1",2276.18257233234,2.06819282457751e-77
"169","Quant.14.0","Quant","1","14","1",0.113175235823473,2.42011179224436e-77
"170","Sigma.14.0","Sigma","2","14","1",4.48914020729218,3.56300838122964e-41
"171","Connect.14.0","Connect","3","14","1",0.307515030226747,2.01872013268102e-13
"172","Tau1.14.0","Tau1","4","14","1",1775.20451603004,4.37181541506619e-18
"173","Tau2.14.0","Tau2","5","14","1",5375261.88344123,9.08053157574168e-05
"174","NPQ.14.0","NPQ","6","14","1",0.207118671555934,5.50908849076665e-99
"175","qP.14.0","qP","7","14","1",0.612186958905823,4.84022358448872e-77
"176","ABQ.14.0","ABQ","8","14","1",-0.159957606553235,3.56300838122964e-41
"177","qm.14.0","qm","9","14","1",0.677546417214541,2.42011179224436e-77
"178","nTau1.14.0","nTau1","10","14","1",2.35097352155594,4.37181541506619e-18
"179","nTau2.14.0","nTau2","11","14","1",3.97625865948342,9.08053157574168e-05
"180","nCon.14.0","nCon","12","14","1",0.857039030205188,2.01872013268102e-13
"181","Fm.14.0","Fm","13","14","1",2542.16277916347,5.50908849076665e-99
"182","Fo.14.0","Fo","14","14","1",2254.45290712999,4.84022358448872e-77
"183","Quant.15.0","Quant","1","15","1",0.119417191090091,9.66373760235131e-77
"184","Sigma.15.0","Sigma","2","15","1",4.27208438698386,8.4207509072047e-41
"185","Connect.15.0","Connect","3","15","1",0.227300035278009,8.82018333996843e-09
"186","Tau1.15.0","Tau1","4","15","1",1690.21480187503,8.5009371780873e-18
"187","Tau2.15.0","Tau2","5","15","1",4431478.04950902,1.19569773104845e-05
"188","NPQ.15.0","NPQ","6","15","1",0.196884522308475,6.71486131791818e-98
"189","qP.15.0","qP","7","15","1",0.609725919637667,1.93274752047026e-76
"190","ABQ.15.0","ABQ","8","15","1",-0.103872134015687,8.4207509072047e-41
"191","qm.15.0","qm","9","15","1",0.659762130531482,9.66373760235131e-77
"192","nTau1.15.0","nTau1","10","15","1",2.23841828311509,8.5009371780873e-18
