"","uni","metric","metrix","stage","col","ASnormalized.ahya5.002r","pval"
"167","Fm.13.0","Fm","13","13","1",2710.73276806752,1.70926663104699e-95
"168","Fo.13.0","Fo","14","13","1",2419.76081845552,1.08863173204334e-72
"169","Quant.14.0","Quant","1","14","1",0.110639842028072,3.31225062022852e-72
"170","Sigma.14.0","Sigma","2","14","1",4.67755757005506,1.55557937818782e-35
"171","Connect.14.0","Connect","3","14","1",0.267653042698125,8.28404232738961e-08
"172","Tau1.14.0","Tau1","4","14","1",1832.31980709245,6.41592133189984e-18
"173","Tau2.14.0","Tau2","5","14","1",4106135.71492445,4.73103895458834e-07
"174","NPQ.14.0","NPQ","6","14","1",0.272916003833561,2.92129158642532e-94
"175","qP.14.0","qP","7","14","1",0.649012019061516,6.62450124045703e-72
"176","ABQ.14.0","ABQ","8","14","1",-0.0898710692266178,1.55557937818782e-35
"177","qm.14.0","qm","9","14","1",0.7140746830439,3.31225062022852e-72
"178","nTau1.14.0","nTau1","10","14","1",2.2696564736138,6.41592133189984e-18
"179","nTau2.14.0","nTau2","11","14","1",4.73968921515191,4.73103895458834e-07
"180","nCon.14.0","nCon","12","14","1",0.797491543079622,8.28404232738961e-08
"181","Fm.14.0","Fm","13","14","1",2687.70179426412,2.92129158642532e-94
"182","Fo.14.0","Fo","14","14","1",2390.33489232818,6.62450124045703e-72
"183","Quant.15.0","Quant","1","15","1",0.116130207503872,6.6882703241097e-75
"184","Sigma.15.0","Sigma","2","15","1",4.75039547102314,9.56243511213339e-39
"185","Connect.15.0","Connect","3","15","1",0.174858793466951,3.06790544234019e-05
"186","Tau1.15.0","Tau1","4","15","1",1867.2662898474,7.42072020996634e-18
"187","Tau2.15.0","Tau2","5","15","1",3433490.80059483,1.92331629883834e-08
"188","NPQ.15.0","NPQ","6","15","1",0.265698083718402,2.71993920126907e-97
"189","qP.15.0","qP","7","15","1",0.649773299474881,1.33765406482194e-74
"190","ABQ.15.0","ABQ","8","15","1",-0.106842302572092,9.56243511213339e-39
"191","qm.15.0","qm","9","15","1",0.699885992423077,6.6882703241097e-75
"192","nTau1.15.0","nTau1","10","15","1",2.31294395569406,7.42072020996634e-18
"193","nTau2.15.0","nTau2","11","15","1",3.96325899768807,1.92331629883834e-08
"194","nCon.15.0","nCon","12","15","1",0.521004385443427,3.06790544234019e-05
"195","Fm.15.0","Fm","13","15","1",2703.02900151356,2.71993920126907e-97
"196","Fo.15.0","Fo","14","15","1",2389.12568267881,1.33765406482194e-74
"197","Quant.16.0","Quant","1","16","1",0.0349090878814064,3.1448938820308e-78
"198","Sigma.16.0","Sigma","2","16","1",3.14919970998268,1.61714538851898e-21
"199","Connect.16.0","Connect","3","16","1",0.460619379479733,1.81719014671781e-07
"200","Tau1.16.0","Tau1","4","16","1",1739.12874289473,3.36883488717961e-08
"201","Tau2.16.0","Tau2","5","16","1",8030988.24963809,4.87924140088532e-05
"202","NPQ.16.0","NPQ","6","16","1",0.210215881917086,1.99959215275992e-93
"203","qP.16.0","qP","7","16","1",0.436263204605355,6.2897877640616e-78
"204","ABQ.16.0","ABQ","8","16","1",0.266236362947304,1.61714538851898e-21
"205","qm.16.0","qm","9","16","1",0.90978483126714,3.1448938820308e-78
"206","nTau1.16.0","nTau1","10","16","1",2.15422263869012,3.36883488717961e-08
"207","nTau2.16.0","nTau2","11","16","1",9.27012428144299,4.87924140088532e-05
"208","nCon.16.0","nCon","12","16","1",1.37244865969254,1.81719014671781e-07
"209","Fm.16.0","Fm","13","16","1",2826.94904154743,1.99959215275992e-93
"210","Fo.16.0","Fo","14","16","1",2728.26282901979,6.2897877640616e-78
"211","Quant.17.0","Quant","1","17","1",0.0341575586285708,4.85672473345099e-84
"212","Sigma.17.0","Sigma","2","17","1",3.1787275033998,1.36510213216496e-25
"213","Connect.17.0","Connect","3","17","1",0.368075272919144,1.59570646555843e-06
"214","Tau1.17.0","Tau1","4","17","1",2536.68204208403,8.05493620101244e-09
"215","Tau2.17.0","Tau2","5","17","1",16389037.4019999,0.00946152288559109
"216","NPQ.17.0","NPQ","6","17","1",0.244025042144583,6.68479265757762e-99
"217","qP.17.0","qP","7","17","1",0.481642409453644,9.71344946690198e-84
"218","ABQ.17.0","ABQ","8","17","1",0.259356386100104,1.36510213216496e-25
"219","qm.17.0","qm","9","17","1",0.911726999982134,4.85672473345099e-84
"220","nTau1.17.0","nTau1","10","17","1",3.14213533905515,8.05493620101244e-09
"221","nTau2.17.0","nTau2","11","17","1",18.9177731117466,0.00946152288559109
"222","nCon.17.0","nCon","12","17","1",1.09670682018291,1.59570646555843e-06
"223","Fm.17.0","Fm","13","17","1",2750.1203846774,6.68479265757762e-99
"224","Fo.17.0","Fo","14","17","1",2656.18298640215,9.71344946690198e-84
"225","Quant.18.0","Quant","1","18","1",0.0373730681048417,1.59805217219255e-84
"226","Sigma.18.0","Sigma","2","18","1",3.00250778420843,2.91031464436751e-28
"227","Connect.18.0","Connect","3","18","1",0.549625586547627,2.51927682028757e-15
"228","Tau1.18.0","Tau1","4","18","1",2481.89157028883,2.07901783555626e-09
"229","Tau2.18.0","Tau2","5","18","1",19329353.52475,0.0054949560666679
"230","NPQ.18.0","NPQ","6","18","1",0.263620292554755,2.49113669149949e-98
"231","qP.18.0","qP","7","18","1",0.513055330690012,3.19610434438508e-84
"232","ABQ.18.0","ABQ","8","18","1",0.300415586526291,2.91031464436751e-28
