"","uni","metric","metrix","stage","col","cclong2025.lpv13.005","pval"
"222","nCon.17.0","nCon","12","17","1",0,1
"223","Fm.17.0","Fm","13","17","1",2711.6072671791,1.6744599502589e-80
"224","Fo.17.0","Fo","14","17","1",2452.03486593806,9.27519486726988e-66
"225","Quant.18.0","Quant","1","18","1",0.0982426024893601,1.46707590195356e-66
"226","Sigma.18.0","Sigma","2","18","1",3.82501121660808,1.45666398254662e-17
"227","Connect.18.0","Connect","3","18","1",0,1
"228","Tau1.18.0","Tau1","4","18","1",903.938865608843,7.82532904471499e-09
"229","Tau2.18.0","Tau2","5","18","1",3039745.14825141,9.93440937613661e-13
"230","NPQ.18.0","NPQ","6","18","1",0.535723899744817,3.682932072129e-81
"231","qP.18.0","qP","7","18","1",0.601002168909724,2.93415180390711e-66
"232","ABQ.18.0","ABQ","8","18","1",0.273005129826192,1.45666398254662e-17
"233","qm.18.0","qm","9","18","1",0.733645494655929,1.46707590195356e-66
"234","nTau1.18.0","nTau1","10","18","1",1.44998686411738,7.82532904471499e-09
"235","nTau2.18.0","nTau2","11","18","1",2.60981269471097,9.93440937613661e-13
"236","nCon.18.0","nCon","12","18","1",0,1
"237","Fm.18.0","Fm","13","18","1",2596.50629083083,3.682932072129e-81
"238","Fo.18.0","Fo","14","18","1",2341.41875543961,2.93415180390711e-66
"239","Quant.19.0","Quant","1","19","1",0.103724827957318,2.1525867369755e-66
"240","Sigma.19.0","Sigma","2","19","1",3.78954252983052,1.2692643118297e-17
"241","Connect.19.0","Connect","3","19","1",0,1
"242","Tau1.19.0","Tau1","4","19","1",803.967379401938,6.30813750535144e-09
"243","Tau2.19.0","Tau2","5","19","1",2729409.52631471,7.32980066926289e-14
"244","NPQ.19.0","NPQ","6","19","1",0.597483855129271,4.32217095962186e-80
"245","qP.19.0","qP","7","19","1",0.639048292718402,4.30517347395096e-66
"246","ABQ.19.0","ABQ","8","19","1",0.279746431192088,1.2692643118297e-17
"247","qm.19.0","qm","9","19","1",0.71878213175936,2.1525867369755e-66
"248","nTau1.19.0","nTau1","10","19","1",1.28962497759902,6.30813750535144e-09
"249","nTau2.19.0","nTau2","11","19","1",2.34337001407463,7.32980066926289e-14
"250","nCon.19.0","nCon","12","19","1",0,1
"251","Fm.19.0","Fm","13","19","1",2496.12335915845,4.32217095962186e-80
"252","Fo.19.0","Fo","14","19","1",2237.2133931695,4.30517347395096e-66
"253","Quant.20.0","Quant","1","20","1",0.103608856762279,1.77099478398906e-66
"254","Sigma.20.0","Sigma","2","20","1",3.91534459558165,2.3716730690567e-18
"255","Connect.20.0","Connect","3","20","1",0,1
"256","Tau1.20.0","Tau1","4","20","1",701.395190595514,1.21583107694906e-09
"257","Tau2.20.0","Tau2","5","20","1",2811844.70192268,2.3214894492986e-13
"258","NPQ.20.0","NPQ","6","20","1",0.661965814808575,2.54359640798367e-81
"259","qP.20.0","qP","7","20","1",0.670638283398428,3.54198956797812e-66
"260","ABQ.20.0","ABQ","8","20","1",0.255836055175089,2.3716730690567e-18
"261","qm.20.0","qm","9","20","1",0.719096551873509,1.77099478398906e-66
"262","nTau1.20.0","nTau1","10","20","1",1.12509136581222,1.21583107694906e-09
"263","nTau2.20.0","nTau2","11","20","1",2.41414580523467,2.3214894492986e-13
"264","nCon.20.0","nCon","12","20","1",0,1
"265","Fm.20.0","Fm","13","20","1",2399.27724814601,2.54359640798367e-81
"266","Fo.20.0","Fo","14","20","1",2150.69087540986,3.54198956797812e-66
"267","Quant.21.0","Quant","1","21","1",0.10395779813013,1.25769161095608e-66
"268","Sigma.21.0","Sigma","2","21","1",3.57636778721633,8.65265444553365e-18
"269","Connect.21.0","Connect","3","21","1",0,1
"270","Tau1.21.0","Tau1","4","21","1",689.23930183115,3.86879609664706e-09
"271","Tau2.21.0","Tau2","5","21","1",2895794.18358298,5.94285968787768e-13
"272","NPQ.21.0","NPQ","6","21","1",0.730576640779945,2.42868878857871e-79
"273","qP.21.0","qP","7","21","1",0.702063342570586,2.51538322191191e-66
"274","ABQ.21.0","ABQ","8","21","1",0.320263160570092,8.65265444553365e-18
"275","qm.21.0","qm","9","21","1",0.718150505015291,1.25769161095608e-66
"276","nTau1.21.0","nTau1","10","21","1",1.10559239336995,3.86879609664706e-09
"277","nTau2.21.0","nTau2","11","21","1",2.48622172353246,5.94285968787768e-13
"278","nCon.21.0","nCon","12","21","1",0,1
"279","Fm.21.0","Fm","13","21","1",2304.15496933412,2.42868878857871e-79
"280","Fo.21.0","Fo","14","21","1",2064.62009217155,2.51538322191191e-66
"281","Quant.22.0","Quant","1","22","1",0.104099835309663,1.7415001291768e-65
"282","Sigma.22.0","Sigma","2","22","1",3.87326960858414,7.61622053913532e-17
"283","Connect.22.0","Connect","3","22","1",0,1
"284","Tau1.22.0","Tau1","4","22","1",638.689412513677,2.5210455225783e-09
"285","Tau2.22.0","Tau2","5","22","1",2551419.66869921,7.91533945618106e-15
"286","NPQ.22.0","NPQ","6","22","1",0.806581674929363,1.42129870337112e-79
"287","qP.22.0","qP","7","22","1",0.733891385127491,3.48300025835359e-65
"288","ABQ.22.0","ABQ","8","22","1",0.26383297282516,7.61622053913532e-17
"289","qm.22.0","qm","9","22","1",0.717765415026466,1.7415001291768e-65
"290","nTau1.22.0","nTau1","10","22","1",1.02450651656837,2.5210455225783e-09
"291","nTau2.22.0","nTau2","11","22","1",2.19055450906364,7.91533945618106e-15
"292","nCon.22.0","nCon","12","22","1",0,1
"293","Fm.22.0","Fm","13","22","1",2207.21643643517,1.42129870337112e-79
"294","Fo.22.0","Fo","14","22","1",1977.44556890949,3.48300025835359e-65
"295","Quant.23.0","Quant","1","23","1",0.322463819552185,4.6630240686453e-57
"296","Sigma.23.0","Sigma","2","23","1",4.01689017961052,4.312133819194e-41
"297","Connect.23.0","Connect","3","23","1",0.0966034746536341,0.00777285780675119
"298","Tau1.23.0","Tau1","4","23","1",981.612663126962,7.94979251075422e-15
"299","Tau2.23.0","Tau2","5","23","1",791194.851292601,4.94807948872515e-12
"300","NPQ.23.0","NPQ","6","23","1",1.16378185074867,7.18493062029002e-83
"301","qP.23.0","qP","7","23","1",1,9.3260481372906e-57
"302","ABQ.23.0","ABQ","8","23","1",0.236535950025787,4.312133819194e-41
"303","qm.23.0","qm","9","23","1",0.125738844739135,4.6630240686453e-57
"304","nTau1.23.0","nTau1","10","23","1",1.57458155782106,7.94979251075422e-15
"305","nTau2.23.0","nTau2","11","23","1",0.679290620163071,4.94807948872515e-12
"306","nCon.23.0","nCon","12","23","1",0.443822787869258,0.00777285780675119
"307","Fm.23.0","Fm","13","23","1",1842.84601762742,7.18493062029002e-83
"308","Fo.23.0","Fo","14","23","1",1248.59485193675,9.3260481372906e-57
"309","Quant.24.0","Quant","1","24","1",0.334409015527049,2.57813551624392e-59
"310","Sigma.24.0","Sigma","2","24","1",3.99361493375033,8.94735055905796e-45
"311","Connect.24.0","Connect","3","24","1",0.147206181950304,2.69026511109866e-06
"312","Tau1.24.0","Tau1","4","24","1",892.524658755432,6.93368897819257e-17
"313","Tau2.24.0","Tau2","5","24","1",767346.979015721,3.99773487166532e-14
"314","NPQ.24.0","NPQ","6","24","1",1.09674621426281,2.43148712877412e-85
"315","qP.24.0","qP","7","24","1",0.993719347762934,5.15627103248785e-59
"316","ABQ.24.0","ABQ","8","24","1",0.240959723809488,8.94735055905796e-45
"317","qm.24.0","qm","9","24","1",0.0933531313673055,2.57813551624392e-59
"318","nTau1.24.0","nTau1","10","24","1",1.43167760601217,6.93368897819257e-17
"319","nTau2.24.0","nTau2","11","24","1",0.658815719546535,3.99773487166532e-14
"320","nCon.24.0","nCon","12","24","1",0.676305467262149,2.69026511109866e-06
"321","Fm.24.0","Fm","13","24","1",1901.76414271892,2.43148712877412e-85
"322","Fo.24.0","Fo","14","24","1",1265.79706798765,5.15627103248785e-59
"323","Quant.25.0","Quant","1","25","1",0.340051855027946,4.52383137150479e-58
"324","Sigma.25.0","Sigma","2","25","1",4.1335675700953,3.13102391876685e-44
"325","Connect.25.0","Connect","3","25","1",0.137514932167142,1.68324511525452e-05
"326","Tau1.25.0","Tau1","4","25","1",873.972958771677,2.58142114819899e-17
"327","Tau2.25.0","Tau2","5","25","1",721353.097156367,4.88938218756409e-15
"328","NPQ.25.0","NPQ","6","25","1",1.03646481212701,8.03926106495373e-85
"329","qP.25.0","qP","7","25","1",0.98407326956977,9.04766274300958e-58
"330","ABQ.25.0","ABQ","8","25","1",0.214359841370367,3.13102391876685e-44
"331","qm.25.0","qm","9","25","1",0.0780543130755139,4.52383137150479e-58
"332","nTau1.25.0","nTau1","10","25","1",1.40191926470512,2.58142114819899e-17
"333","nTau2.25.0","nTau2","11","25","1",0.619327074643317,4.88938218756409e-15
"334","nCon.25.0","nCon","12","25","1",0.631781214774112,1.68324511525452e-05
"335","Fm.25.0","Fm","13","25","1",1958.05826986122,8.03926106495373e-85
"336","Fo.25.0","Fo","14","25","1",1292.2169229421,9.04766274300958e-58
"337","Quant.26.0","Quant","1","26","1",0.34402098502881,3.43018372424042e-57
"338","Sigma.26.0","Sigma","2","26","1",4.16745415905862,9.99492133159997e-44
"339","Connect.26.0","Connect","3","26","1",0.14052158547984,1.78904299936518e-05
"340","Tau1.26.0","Tau1","4","26","1",839.236500394641,4.22404732813318e-17
"341","Tau2.26.0","Tau2","5","26","1",697699.740007772,8.26459341727195e-15
"342","NPQ.26.0","NPQ","6","26","1",0.994245713991102,3.3842075503807e-84
"343","qP.26.0","qP","7","26","1",0.976982703827178,6.86036744848083e-57
"344","ABQ.26.0","ABQ","8","26","1",0.207919238990679,9.99492133159997e-44
"345","qm.26.0","qm","9","26","1",0.0672932416946843,3.43018372424042e-57
"346","nTau1.26.0","nTau1","10","26","1",1.34619933687711,4.22404732813318e-17
"347","nTau2.26.0","nTau2","11","26","1",0.59901917751765,8.26459341727195e-15
"348","nCon.26.0","nCon","12","26","1",0.645594602544918,1.78904299936518e-05
"349","Fm.26.0","Fm","13","26","1",1999.5112631765,3.3842075503807e-84
"350","Fo.26.0","Fo","14","26","1",1311.63742884232,6.86036744848083e-57
"351","Quant.27.0","Quant","1","27","1",0.349759057239855,7.20136176848007e-55
"352","Sigma.27.0","Sigma","2","27","1",4.22813230783241,4.05052240225251e-42
