"","uni","metric","metrix","stage","col","barefoot2025.bpv19.002","pval"
"3300","L22CompR12.qTau1.3","qTau1","99","99","3",0.0204737179216661,NA
"3301","L3CompR1.qTau1.3","qTau1","99","99","3",0.357216204652802,NA
"3302","L3CompR12.qTau1.3","qTau1","99","99","3",0.351832301581734,NA
"3303","L32CompR1.qTau1.3","qTau1","99","99","3",0.26939483832448,NA
"3304","L32CompR12.qTau1.3","qTau1","99","99","3",0.263275350866713,NA
"3305","DCompL1.qTau2.3","qTau2","99","99","3",-5.10334120596943,NA
"3306","DCompL12.qTau2.3","qTau2","99","99","3",-2.15989993209619,NA
"3307","DCompL2.qTau2.3","qTau2","99","99","3",-0.63583323651504,NA
"3308","DCompL22.qTau2.3","qTau2","99","99","3",-0.504849733153918,NA
"3309","DCompL3.qTau2.3","qTau2","99","99","3",-4.4164701677853,NA
"3310","DCompL32.qTau2.3","qTau2","99","99","3",-3.91660966169354,NA
"3311","DCompR1.qTau2.3","qTau2","99","99","3",-0.194575713053677,NA
"3312","DCompR12.qTau2.3","qTau2","99","99","3",0.00753736216304406,NA
"3313","L1CompL2.qTau2.3","qTau2","99","99","3",0.731977423298062,NA
"3314","L1CompL22.qTau2.3","qTau2","99","99","3",0.753438373774338,NA
"3315","L1CompL3.qTau2.3","qTau2","99","99","3",0.112540166935503,NA
"3316","L1CompL32.qTau2.3","qTau2","99","99","3",0.194439652679944,NA
"3317","L1CompR1.qTau2.3","qTau2","99","99","3",0.804275121979857,NA
"3318","L1CompR12.qTau2.3","qTau2","99","99","3",0.837390274548919,NA
"3319","L12CompL2.qTau2.3","qTau2","99","99","3",0.482314860701974,NA
"3320","L12CompL22.qTau2.3","qTau2","99","99","3",0.523766649105359,NA
"3321","L12CompL3.qTau2.3","qTau2","99","99","3",-0.714127119269933,NA
"3322","L12CompL32.qTau2.3","qTau2","99","99","3",-0.555938405439313,NA
"3323","L12CompR1.qTau2.3","qTau2","99","99","3",0.621957739572712,NA
"3324","L12CompR12.qTau2.3","qTau2","99","99","3",0.685919598985977,NA
"3325","L2CompL3.qTau2.3","qTau2","99","99","3",-2.31113835254044,NA
"3326","L2CompL32.qTau2.3","qTau2","99","99","3",-2.00556899807699,NA
"3327","L2CompR1.qTau2.3","qTau2","99","99","3",0.269744808707649,NA
"3328","L2CompR12.qTau2.3","qTau2","99","99","3",0.393298402500192,NA
"3329","L22CompL3.qTau2.3","qTau2","99","99","3",-2.59934287686869,NA
"3330","L22CompL32.qTau2.3","qTau2","99","99","3",-2.26717648504953,NA
"3331","L22CompR1.qTau2.3","qTau2","99","99","3",0.206182725932348,NA
"3332","L22CompR12.qTau2.3","qTau2","99","99","3",0.34049053804401,NA
"3333","L3CompR1.qTau2.3","qTau2","99","99","3",0.779454944631936,NA
"3334","L3CompR12.qTau2.3","qTau2","99","99","3",0.816769481397743,NA
"3335","L32CompR1.qTau2.3","qTau2","99","99","3",0.757032631172473,NA
"3336","L32CompR12.qTau2.3","qTau2","99","99","3",0.798140851902589,NA
"3337","DCompL1.qNPQ.3","qNPQ","99","99","3",0.894387351675302,NA
"3338","DCompL12.qNPQ.3","qNPQ","99","99","3",0.486733476277475,NA
"3339","DCompL2.qNPQ.3","qNPQ","99","99","3",0.0494062906362349,NA
"3340","DCompL22.qNPQ.3","qNPQ","99","99","3",0.0744546504752969,NA
"3341","DCompL3.qNPQ.3","qNPQ","99","99","3",0.60749862828801,NA
"3342","DCompL32.qNPQ.3","qNPQ","99","99","3",0.310710724067921,NA
"3343","DCompR1.qNPQ.3","qNPQ","99","99","3",-0.432093594110974,NA
"3344","DCompR12.qNPQ.3","qNPQ","99","99","3",-0.218689550826163,NA
"3345","L1CompL2.qNPQ.3","qNPQ","99","99","3",-8.00075629617049,NA
"3346","L1CompL22.qNPQ.3","qNPQ","99","99","3",-7.76358432636956,NA
"3347","L1CompL3.qNPQ.3","qNPQ","99","99","3",-2.71642391264799,NA
"3348","L1CompL32.qNPQ.3","qNPQ","99","99","3",-5.52657884132317,NA
"3349","L1CompR1.qNPQ.3","qNPQ","99","99","3",-12.5598682243827,NA
"3350","L1CompR12.qNPQ.3","qNPQ","99","99","3",-10.5392386248984,NA
"3351","L12CompL2.qNPQ.3","qNPQ","99","99","3",-0.852046968638193,NA
"3352","L12CompL22.qNPQ.3","qNPQ","99","99","3",-0.803245110965116,NA
"3353","L12CompL3.qNPQ.3","qNPQ","99","99","3",0.235287411956407,NA
"3354","L12CompL32.qNPQ.3","qNPQ","99","99","3",-0.342946099295409,NA
"3355","L12CompR1.qNPQ.3","qNPQ","99","99","3",-1.79015585065737,NA
"3356","L12CompR12.qNPQ.3","qNPQ","99","99","3",-1.37437957571726,NA
"3357","L2CompL3.qNPQ.3","qNPQ","99","99","3",0.587098707002078,NA
"3358","L2CompL32.qNPQ.3","qNPQ","99","99","3",0.274885506665701,NA
"3359","L2CompR1.qNPQ.3","qNPQ","99","99","3",-0.506525427219036,NA
"3360","L2CompR12.qNPQ.3","qNPQ","99","99","3",-0.282029892288931,NA
"3361","L22CompL3.qNPQ.3","qNPQ","99","99","3",0.575924213855591,NA
"3362","L22CompL32.qNPQ.3","qNPQ","99","99","3",0.25526147769415,NA
"3363","L22CompR1.qNPQ.3","qNPQ","99","99","3",-0.547297055564484,NA
"3364","L22CompR12.qNPQ.3","qNPQ","99","99","3",-0.316725918888792,NA
"3365","L3CompR1.qNPQ.3","qNPQ","99","99","3",-2.64863334837418,NA
"3366","L3CompR12.qNPQ.3","qNPQ","99","99","3",-2.1049306796319,NA
"3367","L32CompR1.qNPQ.3","qNPQ","99","99","3",-1.07763800209201,NA
"3368","L32CompR12.qNPQ.3","qNPQ","99","99","3",-0.768037881016228,NA
"3369","DCompL1.qqP.3","qqP","99","99","3",0.817570817013087,NA
"3370","DCompL12.qqP.3","qqP","99","99","3",0.436352908652204,NA
"3371","DCompL2.qqP.3","qqP","99","99","3",0.136363810410971,NA
"3372","DCompL22.qqP.3","qqP","99","99","3",0.123150922072746,NA
"3373","DCompL3.qqP.3","qqP","99","99","3",0.552730143399537,NA
"3374","DCompL32.qqP.3","qqP","99","99","3",0.387144413985915,NA
"3375","DCompR1.qqP.3","qqP","99","99","3",-0.0535762732484774,NA
"3376","DCompR12.qqP.3","qqP","99","99","3",-0.037942450741208,NA
"3377","L1CompL2.qqP.3","qqP","99","99","3",-3.73409010251931,NA
"3378","L1CompL22.qqP.3","qqP","99","99","3",-3.8065175953244,NA
"3379","L1CompL3.qqP.3","qqP","99","99","3",-1.45174510611358,NA
"3380","L1CompL32.qqP.3","qqP","99","99","3",-2.3594163827289,NA
"3381","L1CompR1.qqP.3","qqP","99","99","3",-4.77526169880428,NA
"3382","L1CompR12.qqP.3","qqP","99","99","3",-4.68956366381176,NA
