"","uni","metric","metrix","stage","col","ASnormalized.t7_aglo4.002r","pval"
"209","Fm.16.0","Fm","13","16","1",3318.08125378703,5.72676914879951e-96
"210","Fo.16.0","Fo","14","16","1",3213.07248070068,5.08582962826007e-81
"211","Quant.17.0","Quant","1","17","1",0.0321646298743879,8.84681583932014e-87
"212","Sigma.17.0","Sigma","2","17","1",3.01886409577688,2.05919130368052e-27
"213","Connect.17.0","Connect","3","17","1",0.390831708103052,2.87840543069127e-08
"214","Tau1.17.0","Tau1","4","17","1",2815.21118555479,6.98013442129824e-07
"215","Tau2.17.0","Tau2","5","17","1",17280786.5941395,0.0437606799836048
"216","NPQ.17.0","NPQ","6","17","1",0.105457702137564,6.96032296360166e-101
"217","qP.17.0","qP","7","17","1",0.327651954832113,1.76936316786402e-86
"218","ABQ.17.0","ABQ","8","17","1",0.358982748374883,2.05919130368052e-27
"219","qm.17.0","qm","9","17","1",0.915863038077567,8.84681583932014e-87
"220","nTau1.17.0","nTau1","10","17","1",3.45165239003304,6.98013442129824e-07
"221","nTau2.17.0","nTau2","11","17","1",19.5754294022301,0.0437606799836048
"222","nCon.17.0","nCon","12","17","1",1.24150381274006,2.87840543069127e-08
"223","Fm.17.0","Fm","13","17","1",3248.0367615686,6.96032296360166e-101
"224","Fo.17.0","Fo","14","17","1",3143.56486131434,1.76936316786402e-86
"225","Quant.18.0","Quant","1","18","1",0.0354098136001747,1.15843603471182e-80
"226","Sigma.18.0","Sigma","2","18","1",3.55594113209527,1.01900552550611e-24
"227","Connect.18.0","Connect","3","18","1",0.42408159207915,1.67706605463915e-08
"228","Tau1.18.0","Tau1","4","18","1",2165.56192158836,1.3141087170812e-10
"229","Tau2.18.0","Tau2","5","18","1",16551331.8706248,0.000821810163750775
"230","NPQ.18.0","NPQ","6","18","1",0.113866459108252,1.4116096312336e-98
"231","qP.18.0","qP","7","18","1",0.352714762193795,2.31687206942363e-80
"232","ABQ.18.0","ABQ","8","18","1",0.244941296090432,1.01900552550611e-24
"233","qm.18.0","qm","9","18","1",0.907374213532279,1.15843603471182e-80
"234","nTau1.18.0","nTau1","10","18","1",2.65513543735866,1.3141087170812e-10
"235","nTau2.18.0","nTau2","11","18","1",18.7491134608523,0.000821810163750775
"236","nCon.18.0","nCon","12","18","1",1.34712435701433,1.67706605463915e-08
"237","Fm.18.0","Fm","13","18","1",3223.51680988449,1.4116096312336e-98
"238","Fo.18.0","Fo","14","18","1",3109.37268050945,2.31687206942363e-80
"239","Quant.19.0","Quant","1","19","1",0.0366716932545532,4.72665090705676e-80
"240","Sigma.19.0","Sigma","2","19","1",2.99802184378894,1.73442565715588e-23
"241","Connect.19.0","Connect","3","19","1",0.511533576139206,5.52382632938241e-10
"242","Tau1.19.0","Tau1","4","19","1",1701.12819075099,5.81479083234455e-09
"243","Tau2.19.0","Tau2","5","19","1",10360210.0366418,1.48189556182888e-05
"244","NPQ.19.0","NPQ","6","19","1",0.131518124782482,1.04906357333029e-93
"245","qP.19.0","qP","7","19","1",0.391204792387832,9.45330181411342e-80
"246","ABQ.19.0","ABQ","8","19","1",0.363408334510303,1.73442565715588e-23
"247","qm.19.0","qm","9","19","1",0.904073360363883,4.72665090705676e-80
"248","nTau1.19.0","nTau1","10","19","1",2.08570611522386,5.81479083234455e-09
"249","nTau2.19.0","nTau2","11","19","1",11.7358986559868,1.48189556182888e-05
"250","nCon.19.0","nCon","12","19","1",1.62492160168829,5.52382632938241e-10
"251","Fm.19.0","Fm","13","19","1",3173.2299962868,1.04906357333029e-93
"252","Fo.19.0","Fo","14","19","1",3056.86227923682,9.45330181411342e-80
"253","Quant.20.0","Quant","1","20","1",0.0411916057208365,2.11136748947907e-79
"254","Sigma.20.0","Sigma","2","20","1",3.67494463100111,4.08545152610021e-23
"255","Connect.20.0","Connect","3","20","1",0.388745241317831,1.83971794762799e-05
"256","Tau1.20.0","Tau1","4","20","1",2100.24124726587,1.50418982421879e-07
"257","Tau2.20.0","Tau2","5","20","1",11265152.0644914,0.00512380662679644
"258","NPQ.20.0","NPQ","6","20","1",0.147990407351876,3.48340975816158e-95
"259","qP.20.0","qP","7","20","1",0.433718117363475,4.22273497895813e-79
"260","ABQ.20.0","ABQ","8","20","1",0.219672422308037,4.08545152610021e-23
"261","qm.20.0","qm","9","20","1",0.89225007172187,2.11136748947907e-79
"262","nTau1.20.0","nTau1","10","20","1",2.57504756942154,1.50418982421879e-07
"263","nTau2.20.0","nTau2","11","20","1",12.7610041211101,0.00512380662679644
"264","nCon.20.0","nCon","12","20","1",1.23487600743332,1.83971794762799e-05
"265","Fm.20.0","Fm","13","20","1",3127.697959763,3.48340975816158e-95
"266","Fo.20.0","Fo","14","20","1",2998.86305859058,4.22273497895813e-79
"267","Quant.21.0","Quant","1","21","1",0.0345962144556223,8.99112590834613e-80
"268","Sigma.21.0","Sigma","2","21","1",4.08099128888054,4.02377317508856e-23
"269","Connect.21.0","Connect","3","21","1",0.133761827487294,0.13696375328866
"270","Tau1.21.0","Tau1","4","21","1",1602.33716429505,2.91661380917309e-09
"271","Tau2.21.0","Tau2","5","21","1",10736630.9303825,0.00047444939024343
