"","uni","metric","metrix","stage","col","cclong2025.nah11.002","pval"
"1532","min.2.rConnect.All","rConnect","3","All","2",0.151699377616732,NA
"1533","max.2.rConnect.All","rConnect","3","All","2",0.336681143424415,NA
"1534","range.2.rConnect.All","rConnect","3","All","2",0.184981765807683,NA
"1535","slope.2.rConnect.All","rConnect","3","All","2",0.00172839404485509,NA
"1536","mean.2.rTau1.All","rTau1","4","All","2",1086.8411456333,NA
"1537","min.2.rTau1.All","rTau1","4","All","2",643.099833677027,NA
"1538","max.2.rTau1.All","rTau1","4","All","2",1630.52359568642,NA
"1539","range.2.rTau1.All","rTau1","4","All","2",987.423762009393,NA
"1540","slope.2.rTau1.All","rTau1","4","All","2",-11.0621947624611,NA
"1541","mean.2.rTau2.All","rTau2","5","All","2",2100832.03609332,NA
"1542","min.2.rTau2.All","rTau2","5","All","2",949112.478520226,NA
"1543","max.2.rTau2.All","rTau2","5","All","2",4304554.20904553,NA
"1544","range.2.rTau2.All","rTau2","5","All","2",3355441.7305253,NA
"1545","slope.2.rTau2.All","rTau2","5","All","2",-43694.4722424732,NA
"1546","mean.2.rNPQ.All","rNPQ","6","All","2",0.774734972863535,NA
"1547","min.2.rNPQ.All","rNPQ","6","All","2",0.0925308189667227,NA
"1548","max.2.rNPQ.All","rNPQ","6","All","2",1.45368674892619,NA
"1549","range.2.rNPQ.All","rNPQ","6","All","2",1.36115592995947,NA
"1550","slope.2.rNPQ.All","rNPQ","6","All","2",0.0413244514553949,NA
"1551","mean.2.rqP.All","rqP","7","All","2",0.711628812379435,NA
"1552","min.2.rqP.All","rqP","7","All","2",0.198041254988428,NA
"1553","max.2.rqP.All","rqP","7","All","2",1,NA
"1554","range.2.rqP.All","rqP","7","All","2",0.801958745011572,NA
"1555","slope.2.rqP.All","rqP","7","All","2",0.0223834359418731,NA
"1556","mean.2.rABQ.All","rABQ","8","All","2",0.207156712478443,NA
"1557","min.2.rABQ.All","rABQ","8","All","2",0,NA
"1558","max.2.rABQ.All","rABQ","8","All","2",0.273859318033762,NA
