"","uni","metric","metrix","stage","col","ASnormalized.icra4.002r","pval"
"875","qP.12.2","qP","7","12","3",0.719968015317399,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000046502967142214
"876","ABQ.12.2","ABQ","8","12","3",0.0550409075481894,0.00000000000000000000000000000000000000000002699358571222
"877","qm.12.2","qm","9","12","3",0.612806170002532,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000023251483571107
"878","nTau1.12.2","nTau1","10","12","3",1.9699494904261,0.00000000000000341243702091487
"879","nTau2.12.2","nTau2","11","12","3",2.04643275792768,0.00000513447789518338
"880","nCon.12.2","nCon","12","12","3",0.758565564400115,0.00000000146681117765105
"881","Fm.12.2","Fm","13","12","3",2048.21249096808,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124056129370783
"882","Fo.12.2","Fo","14","12","3",1809.10767691907,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000046502967142214
"883","Quant.13.2","Quant","1","13","3",0.120909411101332,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000417159727183473
"884","Sigma.13.2","Sigma","2","13","3",3.70389286823722,0.0000000000000000000000000000000000000000000000000253536746098133
"885","Connect.13.2","Connect","3","13","3",0.298721591622838,0.0000000000000000261526470258755
"886","Tau1.13.2","Tau1","4","13","3",1554.72272531133,0.0000000000000000330726617047132
"887","Tau2.13.2","Tau2","5","13","3",3507308.41441899,0.000000120041615019033
"888","NPQ.13.2","NPQ","6","13","3",0.33576694180651,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124721748209136
