"","uni","metric","metrix","stage","col","ASnormalized.aabr3.005r","pval"
"161","qP.13.0","qP","7","13","1",0.523822813360199,0.0000000000000000000000000000000000000000000000000000000000000000000000000095211225346215
"162","ABQ.13.0","ABQ","8","13","1",-0.0801574601630599,0.0000000000000000000000000000000000000654798483436259
"163","qm.13.0","qm","9","13","1",0.719749098430138,0.00000000000000000000000000000000000000000000000000000000000000000000000000476056126731075
"164","nTau1.13.0","nTau1","10","13","1",2.43456724129496,0.000000000000000000122700734523043
"165","nTau2.13.0","nTau2","11","13","1",3.54617025132032,0.00000000358145474024043
"166","nCon.13.0","nCon","12","13","1",0.817452698232161,0.00000000256155322043854
"167","Fm.13.0","Fm","13","13","1",2926.67329497924,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000185249657403797
"168","Fo.13.0","Fo","14","13","1",2618.8643707798,0.0000000000000000000000000000000000000000000000000000000000000000000000000095211225346215
"169","Quant.14.0","Quant","1","14","1",0.108909481640652,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000739111739066688
"170","Sigma.14.0","Sigma","2","14","1",4.54675562809001,0.000000000000000000000000000000000000000000491526082008612
"171","Connect.14.0","Connect","3","14","1",0.289093936209851,0.000000000000167760677473566
"172","Tau1.14.0","Tau1","4","14","1",1762.53134473751,0.00000000000000000000117107000186911
"173","Tau2.14.0","Tau2","5","14","1",4838716.75466113,0.000000493630338718266
"174","NPQ.14.0","NPQ","6","14","1",0.152083514719729,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000248074695959806
"175","qP.14.0","qP","7","14","1",0.544478409943104,0.000000000000000000000000000000000000000000000000000000000000000000000000000000147822347813338
"176","ABQ.14.0","ABQ","8","14","1",-0.030947515521621,0.000000000000000000000000000000000000000000491526082008612
"177","qm.14.0","qm","9","14","1",0.709794427710737,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000739111739066688
"178","nTau1.14.0","nTau1","10","14","1",2.52009688093181,0.00000000000000000000117107000186911
"179","nTau2.14.0","nTau2","11","14","1",4.5118704337914,0.000000493630338718266
"180","nCon.14.0","nCon","12","14","1",0.863538577060573,0.000000000000167760677473566
"181","Fm.14.0","Fm","13","14","1",2906.64657992072,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000248074695959806
"182","Fo.14.0","Fo","14","14","1",2590.08520758898,0.000000000000000000000000000000000000000000000000000000000000000000000000000000147822347813338
"183","Quant.15.0","Quant","1","15","1",0.112473992286291,0.0000000000000000000000000000000000000000000000000000000000000000000000000000324110797631044
"184","Sigma.15.0","Sigma","2","15","1",4.68087763190584,0.0000000000000000000000000000000000000000527385134108114
"185","Connect.15.0","Connect","3","15","1",0.253046406074816,0.000000000374740899934057
"186","Tau1.15.0","Tau1","4","15","1",1733.97500812839,0.0000000000000000000165559784922355
"187","Tau2.15.0","Tau2","5","15","1",4220450.02453189,0.000000224125950344496
"188","NPQ.15.0","NPQ","6","15","1",0.147126709280278,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021984554915802
"189","qP.15.0","qP","7","15","1",0.543914006187699,0.0000000000000000000000000000000000000000000000000000000000000000000000000000648221595262089
"190","ABQ.15.0","ABQ","8","15","1",-0.0613588149009974,0.0000000000000000000000000000000000000000527385134108114
"191","qm.15.0","qm","9","15","1",0.700296256970543,0.0000000000000000000000000000000000000000000000000000000000000000000000000000324110797631044
"192","nTau1.15.0","nTau1","10","15","1",2.47926655185179,0.0000000000000000000165559784922355
"193","nTau2.15.0","nTau2","11","15","1",3.93536647183086,0.000000224125950344496
"194","nCon.15.0","nCon","12","15","1",0.755862735472669,0.000000000374740899934057
"195","Fm.15.0","Fm","13","15","1",2919.20637951509,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021984554915802
"196","Fo.15.0","Fo","14","15","1",2590.87158370342,0.0000000000000000000000000000000000000000000000000000000000000000000000000000648221595262089
"197","Quant.16.0","Quant","1","16","1",0.0399826498536988,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000889818449561352
"198","Sigma.16.0","Sigma","2","16","1",3.16154869808564,0.000000000000000000000000000137575290971805
"199","Connect.16.0","Connect","3","16","1",0.511718782540948,0.000000000000268805744288021
"200","Tau1.16.0","Tau1","4","16","1",2180.60502827057,0.0000000034230103045295
"201","Tau2.16.0","Tau2","5","16","1",12419261.6814915,0.00125913508577707
"202","NPQ.16.0","NPQ","6","16","1",0.0771536604040987,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000668256769068921
"203","qP.16.0","qP","7","16","1",0.261366336549421,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000017796368991227
"204","ABQ.16.0","ABQ","8","16","1",0.283139222315935,0.000000000000000000000000000137575290971805
"205","qm.16.0","qm","9","16","1",0.893460260689526,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000889818449561352
"206","nTau1.16.0","nTau1","10","16","1",3.11786564630276,0.0000000034230103045295
"207","nTau2.16.0","nTau2","11","16","1",11.580363644196,0.00125913508577707
"208","nCon.16.0","nCon","12","16","1",1.52853053621234,0.000000000000268805744288021
"209","Fm.16.0","Fm","13","16","1",3108.84113468719,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000668256769068921
