"","uni","metric","metrix","stage","col","ASnormalized.occ2_aglo12.005r","pval"
"727","Fm.27.1","Fm","13","27","2",2563.55618291576,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402161285087519
"728","Fo.27.1","Fo","14","27","2",1983.78659264734,0.000000000000000000000000000000000000000000000000000000000000000000520508308816282
"729","Quant.1.2","Quant","1","1","3",0.37166864925617,0.000000000000000000000000000000000000000000000000000000000000000030957806711184
"730","Sigma.1.2","Sigma","2","1","3",4.36578877819542,0.00000000000000000000000000000000000000000000000000000103232385968002
"731","Connect.1.2","Connect","3","1","3",0.319959850568378,0.0000000000000000000382699409604719
"732","Tau1.1.2","Tau1","4","1","3",725.664328201889,0.0000000000000000000000000000124384872089922
"733","Tau2.1.2","Tau2","5","1","3",757328.284657954,0.000000000000000000000000000000115375092770814
"734","NPQ.1.2","NPQ","6","1","3",0.834533259603337,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203683857535385
"735","qP.1.2","qP","7","1","3",1.35491904438355,0.000000000000000000000000000000000000000000000000000000000000000061915613422368
"736","ABQ.1.2","ABQ","8","1","3",0,0.00000000000000000000000000000000000000000000000000000103232385968002
"737","qm.1.2","qm","9","1","3",0,0.000000000000000000000000000000000000000000000000000000000000000030957806711184
"738","nTau1.1.2","nTau1","10","1","3",1,0.0000000000000000000000000000124384872089922
"739","nTau2.1.2","nTau2","11","1","3",1,0.000000000000000000000000000000115375092770814
"740","nCon.1.2","nCon","12","1","3",1,0.0000000000000000000382699409604719
"741","Fm.1.2","Fm","13","1","3",2057.32427262596,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203683857535385
"742","Fo.1.2","Fo","14","1","3",1292.68133913714,0.000000000000000000000000000000000000000000000000000000000000000061915613422368
"743","Quant.3.2","Quant","1","3","3",0.0433068342468348,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000578425216835327
"744","Sigma.3.2","Sigma","2","3","3",2.78542654770762,0.0000000000000000000000000000000457992399810088
"745","Connect.3.2","Connect","3","3","3",0.44374559482228,0.000000000000622243752069145
"746","Tau1.3.2","Tau1","4","3","3",2892.16726008015,0.000124760046930789
"747","Tau2.3.2","Tau2","5","3","3",3570915.19014151,0.0000000000120810832663673
"748","NPQ.3.2","NPQ","6","3","3",0.144108307278933,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174555698510628
"749","qP.3.2","qP","7","3","3",0.337564262167554,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115685043367065
"750","ABQ.3.2","ABQ","8","3","3",0.361987789785157,0.0000000000000000000000000000000457992399810088
"751","qm.3.2","qm","9","3","3",0.88347999129465,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000578425216835327
"752","nTau1.3.2","nTau1","10","3","3",3.98554420781108,0.000124760046930789
"753","nTau2.3.2","nTau2","11","3","3",4.71514832138392,0.0000000000120810832663673
"754","nCon.3.2","nCon","12","3","3",1.38687899132972,0.000000000000622243752069145
"755","Fm.3.2","Fm","13","3","3",3298.83961152064,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174555698510628
"756","Fo.3.2","Fo","14","3","3",3155.97731125762,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115685043367065
"757","Quant.4.2","Quant","1","4","3",0.0454224032574501,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000328680198786111
"758","Sigma.4.2","Sigma","2","4","3",3.01186329436737,0.00000000000000000000218953694215696
"759","Connect.4.2","Connect","3","4","3",0.389343625583263,0.0000677714529957575
"760","Tau1.4.2","Tau1","4","4","3",2420.18665705999,0.0000000562440276887241
"761","Tau2.4.2","Tau2","5","4","3",4407204.44831618,0.000000000000118081641537979
"762","NPQ.4.2","NPQ","6","4","3",0.152698791607488,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124286345811628
"763","qP.4.2","qP","7","4","3",0.354188149340784,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000657360397572223
"764","ABQ.4.2","ABQ","8","4","3",0.310121618936337,0.00000000000000000000218953694215696
"765","qm.4.2","qm","9","4","3",0.877787907728147,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000328680198786111
"766","nTau1.4.2","nTau1","10","4","3",3.33513246139152,0.0000000562440276887241
"767","nTau2.4.2","nTau2","11","4","3",5.81941086527183,0.000000000000118081641537979
"768","nCon.4.2","nCon","12","4","3",1.21685150462357,0.0000677714529957575
"769","Fm.4.2","Fm","13","4","3",3274.25501909154,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124286345811628
"770","Fo.4.2","Fo","14","4","3",3125.53048724663,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000657360397572223
"771","Quant.5.2","Quant","1","5","3",0.041427968279539,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000419536171971404
"772","Sigma.5.2","Sigma","2","5","3",2.73242045246451,0.00000000000000000000000000582719399873277
"773","Connect.5.2","Connect","3","5","3",0.413438205289852,0.0000000153318187599147
"774","Tau1.5.2","Tau1","4","5","3",1889.97395631601,0.0000000153781267342811
"775","Tau2.5.2","Tau2","5","5","3",4873776.04972916,0.00000000203029025517016
"776","NPQ.5.2","NPQ","6","5","3",0.172016332301162,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000765694427535917
"777","qP.5.2","qP","7","5","3",0.375292447410099,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000839072343942808
"778","ABQ.5.2","ABQ","8","5","3",0.374129031136055,0.00000000000000000000000000582719399873277
"779","qm.5.2","qm","9","5","3",0.888535209083548,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000419536171971404
"780","nTau1.5.2","nTau1","10","5","3",2.60447411132795,0.0000000153781267342811
"781","nTau2.5.2","nTau2","11","5","3",6.43548662906522,0.00000000203029025517016
"782","nCon.5.2","nCon","12","5","3",1.29215651449836,0.0000000153318187599147
"783","Fm.5.2","Fm","13","5","3",3220.28772117123,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000765694427535917
"784","Fo.5.2","Fo","14","5","3",3086.87774360756,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000839072343942808
"785","Quant.6.2","Quant","1","6","3",0.0409800485988178,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000162308609601244
"786","Sigma.6.2","Sigma","2","6","3",3.23549635397851,0.00000000000000000000000898895886318514
"787","Connect.6.2","Connect","3","6","3",0.220319672557228,0.0226828671361782
"788","Tau1.6.2","Tau1","4","6","3",2446.69876075386,0.000000000179871551993141
"789","Tau2.6.2","Tau2","5","6","3",11902752.3811692,0.0000351825265926964
"790","NPQ.6.2","NPQ","6","6","3",0.199523698622462,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000756276901698251
"791","qP.6.2","qP","7","6","3",0.413173006442485,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000324617219202487
"792","ABQ.6.2","ABQ","8","6","3",0.258897642932719,0.00000000000000000000000898895886318514
"793","qm.6.2","qm","9","6","3",0.889740367715081,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000162308609601244
"794","nTau1.6.2","nTau1","10","6","3",3.37166740277353,0.000000000179871551993141
"795","nTau2.6.2","nTau2","11","6","3",15.7167672491528,0.0000351825265926964
"796","nCon.6.2","nCon","12","6","3",0.68858537146411,0.0226828671361782
"797","Fm.6.2","Fm","13","6","3",3146.44038150802,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000756276901698251
"798","Fo.6.2","Fo","14","6","3",3017.49910176054,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000324617219202487
"799","Quant.7.2","Quant","1","7","3",0.0453668307777593,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159748592969836
"800","Sigma.7.2","Sigma","2","7","3",3.39219722597234,0.000000000000000000000000275952981112116
"801","Connect.7.2","Connect","3","7","3",0.177050619534553,0.0602952101491835
"802","Tau1.7.2","Tau1","4","7","3",1671.25726428613,0.000000000208886794679697
"803","Tau2.7.2","Tau2","5","7","3",9107017.95272437,0.000000293551289395789
"804","NPQ.7.2","NPQ","6","7","3",0.235782810020478,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000609099083390153
"805","qP.7.2","qP","7","7","3",0.468828828409183,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000319497185939673
"806","ABQ.7.2","ABQ","8","7","3",0.223004731031791,0.000000000000000000000000275952981112116
"807","qm.7.2","qm","9","7","3",0.877937429297432,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159748592969836
"808","nTau1.7.2","nTau1","10","7","3",2.30307209454172,0.000000000208886794679697
"809","nTau2.7.2","nTau2","11","7","3",12.0251918979067,0.000000293551289395789
"810","nCon.7.2","nCon","12","7","3",0.553352613523352,0.0602952101491835
"811","Fm.7.2","Fm","13","7","3",3054.12065398371,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000609099083390153
"812","Fo.7.2","Fo","14","7","3",2915.56487909957,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000319497185939673
"813","Quant.8.2","Quant","1","8","3",0.054293888239489,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000463277150140817
"814","Sigma.8.2","Sigma","2","8","3",3.6673768545369,0.000000000000000000000000809838987298526
"815","Connect.8.2","Connect","3","8","3",0.105434430310207,0.288212569731973
"816","Tau1.8.2","Tau1","4","8","3",1551.39027449815,0.00000000000201259215932273
"817","Tau2.8.2","Tau2","5","8","3",11007142.0864073,0.00000298635566252139
