"","Name","TG6 Camera #","Date","CBASS / Sophie","Species","Size (cm)","PM (% dead)","Bleaching (%)","Colony Depth (ft)","Colony Photo","Tag #","Bag_number","Notes","Site","Tank_color","Temperature","SampleID_clean","Project","Country","SITE","Latitude","Longitude","Genotype","Condition","Pam_value","Timepoint","MINIMUM_DEPTH_FEET","MAXIMUM_DEPTH_FEET","MINIMUM_DEPTH_METERS","MAXIMUM_DEPTH_METERS","Color_mean","Color_SD"
"68","ES",4,2026-02-10,"CBASS","aglo",41,0,0,37,TRUE,NA,"32",NA,11,"4-yellow",35,"11_AGLO_8","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,8,"wild",0.68,420,29,44,8.8392,13.4112,6.89,0.598
"69","ES",4,2026-02-10,"CBASS","aglo",41,0,0,37,TRUE,NA,"32",NA,11,"5-orange",38,"11_AGLO_8","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,8,"wild",0.407,420,29,44,8.8392,13.4112,4.713,0.912
"70","ES",4,2026-02-10,"CBASS","aglo",41,0,0,37,TRUE,NA,"32",NA,11,"6-brown",39,"11_AGLO_8","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,8,"wild",0.123,420,29,44,8.8392,13.4112,5.762,0.878
"71","ES",4,2026-02-10,"CBASS","aglo",41,0,0,37,TRUE,NA,"32",NA,11,"7-grey",32,"11_AGLO_8","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,8,"wild",0.683,420,29,44,8.8392,13.4112,6.954,0.377
"72","ES",4,2026-02-10,"CBASS","aglo",41,0,0,37,TRUE,NA,"32",NA,11,"8-purple",36,"11_AGLO_8","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,8,"wild",0.656,420,29,44,8.8392,13.4112,5.48,0.817
"73","ES",4,2026-02-10,"CBASS","aglo",43,5,0,29,TRUE,NA,"33",NA,11,"1-green",29,"11_AGLO_6","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,6,"wild",0.656,420,29,44,8.8392,13.4112,6.582,0.24
"74","ES",4,2026-02-10,"CBASS","aglo",43,5,0,29,TRUE,NA,"33",NA,11,"2-blue",37,"11_AGLO_6","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,6,"wild",0.629,420,29,44,8.8392,13.4112,6.024,0.665
"75","ES",4,2026-02-10,"CBASS","aglo",43,5,0,29,TRUE,NA,"33",NA,11,"3-red",34,"11_AGLO_6","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,6,"wild",0.651,420,29,44,8.8392,13.4112,5.638,0.751
"76","ES",4,2026-02-10,"CBASS","aglo",43,5,0,29,TRUE,NA,"33",NA,11,"4-yellow",35,"11_AGLO_6","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,6,"wild",0.673,420,29,44,8.8392,13.4112,6.474,0.455
"77","ES",4,2026-02-10,"CBASS","aglo",43,5,0,29,TRUE,NA,"33",NA,11,"5-orange",38,"11_AGLO_6","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,6,"wild",0.466,420,29,44,8.8392,13.4112,5.288,0.862
"78","ES",4,2026-02-10,"CBASS","aglo",43,5,0,29,TRUE,NA,"33",NA,11,"6-brown",39,"11_AGLO_6","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,6,"wild",0.19,420,29,44,8.8392,13.4112,5.556,1.051
"79","ES",4,2026-02-10,"CBASS","aglo",43,5,0,29,TRUE,NA,"33",NA,11,"7-grey",32,"11_AGLO_6","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,6,"wild",0.659,420,29,44,8.8392,13.4112,6.116,0.419
"80","ES",4,2026-02-10,"CBASS","aglo",43,5,0,29,TRUE,NA,"33",NA,11,"8-purple",36,"11_AGLO_6","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,6,"wild",0.659,420,29,44,8.8392,13.4112,5.387,0.901
"81","CSC",1,2026-02-10,"CBASS","ahya",43,0,0,34,TRUE,NA,"16",NA,11,"1-green",29,"11_AHYA_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.601,420,29,44,8.8392,13.4112,4.494,0.728
"82","CSC",1,2026-02-10,"CBASS","ahya",43,0,0,34,TRUE,NA,"16",NA,11,"2-blue",37,"11_AHYA_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.509,420,29,44,8.8392,13.4112,4.509,0.428
"83","CSC",1,2026-02-10,"CBASS","ahya",43,0,0,34,TRUE,NA,"16",NA,11,"3-red",34,"11_AHYA_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.519,420,29,44,8.8392,13.4112,4.712,0.717
"84","CSC",1,2026-02-10,"CBASS","ahya",43,0,0,34,TRUE,NA,"16",NA,11,"4-yellow",35,"11_AHYA_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.456,420,29,44,8.8392,13.4112,4.478,0.56
"85","CSC",1,2026-02-10,"CBASS","ahya",43,0,0,34,TRUE,NA,"16",NA,11,"5-orange",38,"11_AHYA_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.122,420,29,44,8.8392,13.4112,4.13,0.609
"86","CSC",1,2026-02-10,"CBASS","ahya",43,0,0,34,TRUE,NA,"16",NA,11,"6-brown",39,"11_AHYA_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.029,420,29,44,8.8392,13.4112,3.657,0.517
"87","CSC",1,2026-02-10,"CBASS","ahya",43,0,0,34,TRUE,NA,"16",NA,11,"7-grey",32,"11_AHYA_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.628,420,29,44,8.8392,13.4112,4.816,0.582
"88","CSC",1,2026-02-10,"CBASS","ahya",43,0,0,34,TRUE,NA,"16",NA,11,"8-purple",36,"11_AHYA_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.46,420,29,44,8.8392,13.4112,5.026,0.485
"89","CSC",1,2026-02-10,"CBASS","ahya",32,5,0,35,TRUE,NA,"18",NA,11,"1-green",29,"11_AHYA_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.665,420,29,44,8.8392,13.4112,6.786,0.414
"90","CSC",1,2026-02-10,"CBASS","ahya",32,5,0,35,TRUE,NA,"18",NA,11,"2-blue",37,"11_AHYA_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.49,420,29,44,8.8392,13.4112,6.161,0.593
"91","CSC",1,2026-02-10,"CBASS","ahya",32,5,0,35,TRUE,NA,"18",NA,11,"3-red",34,"11_AHYA_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.665,420,29,44,8.8392,13.4112,6.734,0.522
"92","CSC",1,2026-02-10,"CBASS","ahya",32,5,0,35,TRUE,NA,"18",NA,11,"4-yellow",35,"11_AHYA_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.584,420,29,44,8.8392,13.4112,6.568,0.635
"93","CSC",1,2026-02-10,"CBASS","ahya",32,5,0,35,TRUE,NA,"18",NA,11,"5-orange",38,"11_AHYA_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.33,420,29,44,8.8392,13.4112,6.194,0.926
"94","CSC",1,2026-02-10,"CBASS","ahya",32,5,0,35,TRUE,NA,"18",NA,11,"6-brown",39,"11_AHYA_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.213,420,29,44,8.8392,13.4112,5.53,0.833
"95","CSC",1,2026-02-10,"CBASS","ahya",32,5,0,35,TRUE,NA,"18",NA,11,"7-grey",32,"11_AHYA_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.675,420,29,44,8.8392,13.4112,7.469,0.713
"96","CSC",1,2026-02-10,"CBASS","ahya",32,5,0,35,TRUE,NA,"18",NA,11,"8-purple",36,"11_AHYA_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.555,420,29,44,8.8392,13.4112,7.168,0.524
"97","BH",3,2026-02-10,"CBASS","icra",59,3,0,31,TRUE,NA,"4",NA,11,"1-green",29,"11_ICRA_6","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,6,"wild",0.612,420,29,44,8.8392,13.4112,6.606,0.619
"98","BH",3,2026-02-10,"CBASS","icra",59,3,0,31,TRUE,NA,"4",NA,11,"2-blue",37,"11_ICRA_6","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,6,"wild",0.404,420,29,44,8.8392,13.4112,6.536,1.18
