Project,Country,Date,Site_number,SITE,Latitude,Longitude,Species,Genotype,Condition,Tank_color,Temperature,Pam_value,Timepoint,SampleID_clean,MINIMUM_DEPTH_FEET,MAXIMUM_DEPTH_FEET,MINIMUM_DEPTH_METERS,MAXIMUM_DEPTH_METERS,Bag_number
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,9,wild,7-grey,36,0.622,420,1_AGLO_9,30,41,9.144,12.4968,9
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AHYA,1,wild,1-green,39,0.168,420,1_AHYA_1,30,41,9.144,12.4968,5
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AHYA,1,wild,2-blue,34,0.659,420,1_AHYA_1,30,41,9.144,12.4968,5
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AHYA,1,wild,3-red,37,0.434,420,1_AHYA_1,30,41,9.144,12.4968,5
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AHYA,1,wild,4-yellow,29,0.651,420,1_AHYA_1,30,41,9.144,12.4968,5
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AHYA,1,wild,5-orange,35,0.626,420,1_AHYA_1,30,41,9.144,12.4968,5
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AHYA,1,wild,6-brown,38,0.569,420,1_AHYA_1,30,41,9.144,12.4968,5
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AHYA,1,wild,7-grey,36,0.597,420,1_AHYA_1,30,41,9.144,12.4968,5
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,1,wild,1-green,39,0.153,420,1_ICRA_1,30,41,9.144,12.4968,31
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,1,wild,2-blue,34,0.631,420,1_ICRA_1,30,41,9.144,12.4968,31
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,1,wild,3-red,37,0.607,420,1_ICRA_1,30,41,9.144,12.4968,31
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,1,wild,4-yellow,29,0.606,420,1_ICRA_1,30,41,9.144,12.4968,31
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,1,wild,5-orange,35,0.654,420,1_ICRA_1,30,41,9.144,12.4968,31
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,1,wild,6-brown,38,0.562,420,1_ICRA_1,30,41,9.144,12.4968,31
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,1,wild,7-grey,36,0.637,420,1_ICRA_1,30,41,9.144,12.4968,31
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,2,wild,1-green,39,0.215,420,1_ICRA_2,30,41,9.144,12.4968,26
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,2,wild,2-blue,34,0.591,420,1_ICRA_2,30,41,9.144,12.4968,26
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,2,wild,3-red,37,0.509,420,1_ICRA_2,30,41,9.144,12.4968,26
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,2,wild,4-yellow,29,0.65,420,1_ICRA_2,30,41,9.144,12.4968,26
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,2,wild,5-orange,35,0.634,420,1_ICRA_2,30,41,9.144,12.4968,26
