Name,TG6 Camera #,Date,Site,CBASS / Sophie,Species,Size (cm),PM (% dead),Bleaching (%),Colony Depth (ft),Colony Photo,Tag #,Bag #,Notes,
ES,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,22,TRUE,,6,brown,
ES,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,21,TRUE,,7,brown; a little funky,
ES,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,22,TRUE,,10,brown,
ES,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,23,TRUE,13,16,brown,
ES,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,22,TRUE,,17,brown; a little funky,
ES,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,21,TRUE,,18,yellow,
ES,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,30,TRUE,,20,brown,
CSC,1,20260224,ESA-TUT-006S,Sophie,AGLO,,,,27,,,19,,
BH,3,20260224,OCC-TUT-017,Sophie,AGLO,50,0,0,50,TRUE,8,66,,
CSC,1,20260224,ESA-TUT-006S,Sophie,PVER,,,,20,,,71,,
CSC,1,20260224,ESA-TUT-006S,Sophie,PVER,,,,10,,,72,,
CSC,1,20260224,ESA-TUT-006S,Sophie,PVER,,,,10,,,73,,
CSC,1,20260224,ESA-TUT-006S,Sophie,PVER,,,,13,,,74,,
CSC,1,20260224,ESA-TUT-006S,Sophie,PVER,,,,14,,,75,,
CSC,1,20260224,ESA-TUT-006S,Sophie,PVER,,,,20,,,44,,
