"","uni","metric","metrix","stage","col","ASnormalized.ahya1.002r","pval"
"100","Sigma.9.0","Sigma","2","9","1",3.84893724447037,0.0000000000000000000000000107494044632792
"101","Connect.9.0","Connect","3","9","1",0.485441262910949,0.000000000134089681252481
"102","Tau1.9.0","Tau1","4","9","1",2538.44388824659,0.00000000182760470154527
"103","Tau2.9.0","Tau2","5","9","1",13973815.523083,0.0213759696412098
"104","NPQ.9.0","NPQ","6","9","1",0.28472706705363,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159667594645327
"105","qP.9.0","qP","7","9","1",0.524063064901049,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000781396965607651
"106","ABQ.9.0","ABQ","8","9","1",0.203572251235823,0.0000000000000000000000000107494044632792
"107","qm.9.0","qm","9","9","1",0.893188880612839,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000390698482803826
"108","nTau1.9.0","nTau1","10","9","1",2.14389048594835,0.00000000182760470154527
"109","nTau2.9.0","nTau2","11","9","1",25.7361041027047,0.0213759696412098
"110","nCon.9.0","nCon","12","9","1",1.63883680027844,0.000000000134089681252481
"111","Fm.9.0","Fm","13","9","1",2173.16288266077,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159667594645327
"112","Fo.9.0","Fo","14","9","1",2081.91589846725,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000781396965607651
"113","Quant.10.0","Quant","1","10","1",0.083437850618458,0.000000000000000000000000000000000000000000000000000000000000000000000000000246707663469069
"114","Sigma.10.0","Sigma","2","10","1",5.15314226827092,0.000000000000000000000000000000000146010745068965
"115","Connect.10.0","Connect","3","10","1",0.243922149711284,0.00000160011922705765
"116","Tau1.10.0","Tau1","4","10","1",2194.7532616296,0.00000000000000401965962096319
"117","Tau2.10.0","Tau2","5","10","1",4927231.29223728,0.00000182551910926852
"118","NPQ.10.0","NPQ","6","10","1",0.344515061890954,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000167873193166203
"119","qP.10.0","qP","7","10","1",0.655926901093046,0.000000000000000000000000000000000000000000000000000000000000000000000000000493415326938138
"120","ABQ.10.0","ABQ","8","10","1",-0.0662957681829581,0.000000000000000000000000000000000146010745068965
"121","qm.10.0","qm","9","10","1",0.787747246087119,0.000000000000000000000000000000000000000000000000000000000000000000000000000246707663469069
"122","nTau1.10.0","nTau1","10","10","1",1.85362010891719,0.00000000000000401965962096319
"123","nTau2.10.0","nTau2","11","10","1",9.07466806511451,0.00000182551910926852
"124","nCon.10.0","nCon","12","10","1",0.823474693833784,0.00000160011922705765
"125","Fm.10.0","Fm","13","10","1",2076.52651547389,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000167873193166203
"126","Fo.10.0","Fo","14","10","1",1903.26560627052,0.000000000000000000000000000000000000000000000000000000000000000000000000000493415326938138
"127","Quant.11.0","Quant","1","11","1",0.0916351426244768,0.0000000000000000000000000000000000000000000000000000000000000000000000000136976034724296
"128","Sigma.11.0","Sigma","2","11","1",4.82143552142071,0.000000000000000000000000000000000780759478443484
"129","Connect.11.0","Connect","3","11","1",0.114203921678076,0.0292119132513205
"130","Tau1.11.0","Tau1","4","11","1",2348.46198578586,0.00000000000000000604544484417201
"131","Tau2.11.0","Tau2","5","11","1",4772203.27402496,0.000000541921085064803
"132","NPQ.11.0","NPQ","6","11","1",0.338889231134297,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000272628229393057
"133","qP.11.0","qP","7","11","1",0.66264087719582,0.0000000000000000000000000000000000000000000000000000000000000000000000000273952069448592
"134","ABQ.11.0","ABQ","8","11","1",0.00234147915677041,0.000000000000000000000000000000000780759478443484
"135","qm.11.0","qm","9","11","1",0.76689462596317,0.0000000000000000000000000000000000000000000000000000000000000000000000000136976034724296
"136","nTau1.11.0","nTau1","10","11","1",1.98343770025796,0.00000000000000000604544484417201
"137","nTau2.11.0","nTau2","11","11","1",8.78914710564874,0.000000541921085064803
"138","nCon.11.0","nCon","12","11","1",0.385549403979037,0.0292119132513205
"139","Fm.11.0","Fm","13","11","1",2085.25179794395,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000272628229393057
"140","Fo.11.0","Fo","14","11","1",1894.16945203141,0.0000000000000000000000000000000000000000000000000000000000000000000000000273952069448592
"141","Quant.12.0","Quant","1","12","1",0.0928713704051191,0.0000000000000000000000000000000000000000000000000000000000000000000000637754121441107
"142","Sigma.12.0","Sigma","2","12","1",5.30487135417456,0.0000000000000000000000000000000426183845113287
"143","Connect.12.0","Connect","3","12","1",0.271646882235706,0.00000269877675963713
"144","Tau1.12.0","Tau1","4","12","1",2316.34103265893,0.000000000000000268442813350565
"145","Tau2.12.0","Tau2","5","12","1",4668048.84847871,0.000000437484115706415
