"","cookie","Image","Color_mean","Color_SD","Folder","Date","Site","Tank_color","Temperature","Bag_number","Project","Country","SITE","Latitude","Longitude","Species","Genotype","Condition","Pam_value","Timepoint","SampleID_clean","MINIMUM_DEPTH_FEET","MAXIMUM_DEPTH_FEET","MINIMUM_DEPTH_METERS","MAXIMUM_DEPTH_METERS","Mean_inverted","Rel_Temperature","X","site","species","genotype","K_2","K_3","K_4","K_5","K_6","K_7","K_8","K_9","K_10","K_11","K_12","K_13","K_14","K_15","ED50"
"36",16,"IMG_4709.jpg",5.604,0.588,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,12,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",4,"wild",0.587,420,"11_AGLO_4",29,44,8.8392,13.4112,4.396,8,48,11,"aglo",4,1,"3",4,5,6,7,8,9,9,10,10,11,12,12,38.06
"37",17,"IMG_4709.jpg",4.407,0.767,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,13,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",5,"wild",0.386,420,"11_AGLO_5",29,44,8.8392,13.4112,5.593,8,49,11,"aglo",5,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.53
"38",18,"IMG_4709.jpg",6.024,0.665,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,33,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",6,"wild",0.629,420,"11_AGLO_6",29,44,8.8392,13.4112,3.976,8,50,11,"aglo",6,1,"3",4,5,6,7,8,9,9,10,10,11,12,12,38.49
"39",19,"IMG_4709.jpg",5.167,0.553,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,14,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",7,"wild",0.542,420,"11_AGLO_7",29,44,8.8392,13.4112,4.833,8,51,11,"aglo",7,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,38.18
"40",20,"IMG_4709.jpg",5.597,0.745,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,32,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",8,"wild",0.458,420,"11_AGLO_8",29,44,8.8392,13.4112,4.403,8,52,11,"aglo",8,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,38.01
"41",1,"IMG_4710.jpg",6.734,0.522,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,18,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AHYA",1,"wild",0.665,420,"11_AHYA_1",29,44,8.8392,13.4112,3.266,5,54,11,"ahya",1,1,"1",1,1,1,1,1,3,3,3,3,3,3,3,38.04
"42",2,"IMG_4710.jpg",4.712,0.717,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,16,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AHYA",2,"wild",0.519,420,"11_AHYA_2",29,44,8.8392,13.4112,5.288,5,55,11,"ahya",2,1,"1",1,1,1,1,1,3,3,3,3,3,3,3,37.7
"43",3,"IMG_4710.jpg",6.93,0.459,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,17,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AABR",1,"wild",0.67,420,"11_AABR_1",29,44,8.8392,13.4112,3.07,5,42,11,"aabr",1,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.74
"44",4,"IMG_4710.jpg",5.584,0.706,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,21,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AABR",2,"wild",0.626,420,"11_AABR_2",29,44,8.8392,13.4112,4.416,5,43,11,"aabr",2,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.88
"45",5,"IMG_4710.jpg",6.768,0.693,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,10,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",1,"wild",0.582,420,"11_ICRA_1",29,44,8.8392,13.4112,3.232,5,56,11,"icra",1,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.22
"46",6,"IMG_4710.jpg",6.503,0.391,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,20,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",2,"wild",0.577,420,"11_ICRA_2",29,44,8.8392,13.4112,3.497,5,58,11,"icra",2,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.22
"47",7,"IMG_4710.jpg",6.597,0.854,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,19,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",3,"wild",0.605,420,"11_ICRA_3",29,44,8.8392,13.4112,3.403,5,59,11,"icra",3,1,"1",1,2,2,2,3,4,4,4,4,4,4,4,38.7
