"","uni","metric","metrix","stage","col","ASnormalized.t5_icra1.002r","pval"
"192","nTau1.15.0","nTau1","10","15","1",1.70491134435295,0.000000000000000000102596317419268
"193","nTau2.15.0","nTau2","11","15","1",1.88817091328126,0.000000714968556171747
"194","nCon.15.0","nCon","12","15","1",0.941927811690478,0.000000000425650297164727
"195","Fm.15.0","Fm","13","15","1",2284.55291194244,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000859118517861237
"196","Fo.15.0","Fo","14","15","1",1976.23198901545,0.00000000000000000000000000000000000000000000000000000000000000000000000680379667284548
"197","Quant.16.0","Quant","1","16","1",0.0557317370458968,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000225308536407374
"198","Sigma.16.0","Sigma","2","16","1",3.22825319799512,0.00000000000000000000000000000161894357298879
"199","Connect.16.0","Connect","3","16","1",0.367759683811557,0.0000000034628831002711
"200","Tau1.16.0","Tau1","4","16","1",1160.48473932154,0.00000000000282725599834671
"201","Tau2.16.0","Tau2","5","16","1",6598945.5776893,0.000000772368327438787
"202","NPQ.16.0","NPQ","6","16","1",0.255939160615045,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000814950824649109
"203","qP.16.0","qP","7","16","1",0.532665714149311,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000450617072814749
"204","ABQ.16.0","ABQ","8","16","1",0.40108400597881,0.00000000000000000000000000000161894357298879
"205","qm.16.0","qm","9","16","1",0.80519466702461,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000225308536407374
"206","nTau1.16.0","nTau1","10","16","1",1.6950609326015,0.00000000000282725599834671
"207","nTau2.16.0","nTau2","11","16","1",3.24999014531534,0.000000772368327438787
"208","nCon.16.0","nCon","12","16","1",1.27672393985352,0.0000000034628831002711
"209","Fm.16.0","Fm","13","16","1",2265.39011290119,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000814950824649109
"210","Fo.16.0","Fo","14","16","1",2139.13598682261,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000450617072814749
"211","Quant.17.0","Quant","1","17","1",0.0548297123647576,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000030518832300627
"212","Sigma.17.0","Sigma","2","17","1",3.39233627310997,0.000000000000000000000000000000096696304040951
"213","Connect.17.0","Connect","3","17","1",0.284153491791828,0.0000010144250909458
"214","Tau1.17.0","Tau1","4","17","1",1667.48060669483,0.0000000000000032436995624377
"215","Tau2.17.0","Tau2","5","17","1",17105016.3156255,0.00343397434598805
"216","NPQ.17.0","NPQ","6","17","1",0.337686186520577,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114148358205031
"217","qP.17.0","qP","7","17","1",0.629839805176097,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000610376646012539
"218","ABQ.17.0","ABQ","8","17","1",0.370642782193917,0.000000000000000000000000000000096696304040951
