"","uni","metric","metrix","stage","col","ASnormalized.ahya3.002r","pval"
"153","Fm.12.0","Fm","13","12","1",2729.21453759291,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000457439785465453
"154","Fo.12.0","Fo","14","12","1",2411.80628291326,0.00000000000000000000000000000000000000000000000000000000000000000000000000000185817924502097
"155","Quant.13.0","Quant","1","13","1",0.125048510636095,0.0000000000000000000000000000000000000000000000000000000000000000000000000226665379731005
"156","Sigma.13.0","Sigma","2","13","1",4.77793466510983,0.000000000000000000000000000000000000000838764154088145
"157","Connect.13.0","Connect","3","13","1",0.196280675475117,0.00000126948214188715
"158","Tau1.13.0","Tau1","4","13","1",1768.65287410212,0.000000000000000000783567535178861
"159","Tau2.13.0","Tau2","5","13","1",3681588.07562922,0.000000385146346558715
"160","NPQ.13.0","NPQ","6","13","1",0.226625482111965,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000645779766968037
"161","qP.13.0","qP","7","13","1",0.628744613430652,0.0000000000000000000000000000000000000000000000000000000000000000000000000453330759462009
"162","ABQ.13.0","ABQ","8","13","1",-0.126795125634724,0.000000000000000000000000000000000000000838764154088145
"163","qm.13.0","qm","9","13","1",0.687330394337402,0.0000000000000000000000000000000000000000000000000000000000000000000000000226665379731005
"164","nTau1.13.0","nTau1","10","13","1",2.23789743213442,0.000000000000000000783567535178861
"165","nTau2.13.0","nTau2","11","13","1",3.98240355370281,0.000000385146346558715
"166","nCon.13.0","nCon","12","13","1",0.602988333897666,0.00000126948214188715
"167","Fm.13.0","Fm","13","13","1",2735.10014127159,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000645779766968037
"168","Fo.13.0","Fo","14","13","1",2393.079942165,0.0000000000000000000000000000000000000000000000000000000000000000000000000453330759462009
"169","Quant.14.0","Quant","1","14","1",0.132135084313066,0.00000000000000000000000000000000000000000000000000000000000000000000000752901852450468
"170","Sigma.14.0","Sigma","2","14","1",4.54183549159692,0.0000000000000000000000000000000000000199684789187928
"171","Connect.14.0","Connect","3","14","1",0.256444320846328,0.00000000969663471178162
"172","Tau1.14.0","Tau1","4","14","1",1705.74741691598,0.0000000000000000000583154883148334
"173","Tau2.14.0","Tau2","5","14","1",3082992.77917373,0.00000000281284588841231
"174","NPQ.14.0","NPQ","6","14","1",0.221676351601377,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111280719806081
"175","qP.14.0","qP","7","14","1",0.635128654191312,0.0000000000000000000000000000000000000000000000000000000000000000000000150580370490094
"176","ABQ.14.0","ABQ","8","14","1",-0.0711151265289578,0.0000000000000000000000000000000000000199684789187928
"177","qm.14.0","qm","9","14","1",0.669611221307622,0.00000000000000000000000000000000000000000000000000000000000000000000000752901852450468
"178","nTau1.14.0","nTau1","10","14","1",2.15830241201178,0.0000000000000000000583154883148334
"179","nTau2.14.0","nTau2","11","14","1",3.33489818730553,0.00000000281284588841231
"180","nCon.14.0","nCon","12","14","1",0.787815374031811,0.00000000969663471178162
"181","Fm.14.0","Fm","13","14","1",2746.1802997284,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111280719806081
"182","Fo.14.0","Fo","14","14","1",2383.3135342849,0.0000000000000000000000000000000000000000000000000000000000000000000000150580370490094
"183","Quant.15.0","Quant","1","15","1",0.133184443843373,0.00000000000000000000000000000000000000000000000000000000000000000000000000935005181355588
"184","Sigma.15.0","Sigma","2","15","1",4.6336160742996,0.0000000000000000000000000000000000000000128928625582223
"185","Connect.15.0","Connect","3","15","1",0.248999602040702,0.000000000349237477476439
"186","Tau1.15.0","Tau1","4","15","1",1540.8569257864,0.0000000000000000340968754746765
"187","Tau2.15.0","Tau2","5","15","1",2858741.72703337,0.0000000276189204126987
"188","NPQ.15.0","NPQ","6","15","1",0.218087908490836,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105902112896756
