"","uni","metric","metrix","stage","col","ASnormalized.t9_ahya3.002r","pval"
"543","nTau2.14.1","nTau2","11","14","2",3.90758195699625,0.000000166418673312679
"544","nCon.14.1","nCon","12","14","2",0.477687931179543,0.00368393251531554
"545","Fm.14.1","Fm","13","14","2",2738.48508867739,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000703184516225039
"546","Fo.14.1","Fo","14","14","2",2450.23469469646,0.0000000000000000000000000000000000000000000000000000000000000000000000976901561472304
"547","Quant.15.1","Quant","1","15","2",0.108232298754488,0.0000000000000000000000000000000000000000000000000000000000000000000000000110244603713368
"548","Sigma.15.1","Sigma","2","15","2",4.26115297886541,0.00000000000000000000000000000000000018200822978667
"549","Connect.15.1","Connect","3","15","2",0.231414384078785,0.000000308096562693786
"550","Tau1.15.1","Tau1","4","15","2",1566.51276006866,0.000000000000000000185323006942458
"551","Tau2.15.1","Tau2","5","15","2",3877654.15417557,0.0000000523007058007015
"552","NPQ.15.1","NPQ","6","15","2",0.285735329753526,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000592516943715934
"553","qP.15.1","qP","7","15","2",0.652257393037008,0.0000000000000000000000000000000000000000000000000000000000000000000000000220489207426736
"554","ABQ.15.1","ABQ","8","15","2",0.0340950587345481,0.00000000000000000000000000000000000018200822978667
"555","qm.15.1","qm","9","15","2",0.670852812181743,0.0000000000000000000000000000000000000000000000000000000000000000000000000110244603713368
"556","nTau1.15.1","nTau1","10","15","2",2.22266176788167,0.000000000000000000185323006942458
"557","nTau2.15.1","nTau2","11","15","2",3.53387898875435,0.0000000523007058007015
"558","nCon.15.1","nCon","12","15","2",0.701596932285986,0.000000308096562693786
"559","Fm.15.1","Fm","13","15","2",2754.36783703732,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000592516943715934
"560","Fo.15.1","Fo","14","15","2",2456.25627441935,0.0000000000000000000000000000000000000000000000000000000000000000000000000220489207426736
"561","Quant.16.1","Quant","1","16","2",0.0388538919141807,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000123029039379225
"562","Sigma.16.1","Sigma","2","16","2",3.04912495379548,0.00000000000000000000000000782257231015033
"563","Connect.16.1","Connect","3","16","2",0.448544377104757,0.000000000141274882319937
"564","Tau1.16.1","Tau1","4","16","2",1216.56589726067,0.0000000000489108432317199
"565","Tau2.16.1","Tau2","5","16","2",8371410.15810496,0.00000240425461403011
"566","NPQ.16.1","NPQ","6","16","2",0.263469837720792,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019267424710991
