"","uni","metric","metrix","stage","col","ASnormalized.t7_aabr4.005r","pval"
"635","Tau2.21.1","Tau2","5","21","2",7782397.09770518,0.00000150890610113201
"636","NPQ.21.1","NPQ","6","21","2",0.456371157565826,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000870813443799943
"637","qP.21.1","qP","7","21","2",0.714786431331963,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000130228075489081
"638","ABQ.21.1","ABQ","8","21","2",0.203062346578158,0.000000000000000000000000000439387350211369
"639","qm.21.1","qm","9","21","2",0.864499619561451,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000651140377445405
"640","nTau1.21.1","nTau1","10","21","2",1.48365276519797,0.0000000000534573949988021
"641","nTau2.21.1","nTau2","11","21","2",8.95382565937457,0.00000150890610113201
"642","nCon.21.1","nCon","12","21","2",0.971468254797539,0.00000416804041031683
"643","Fm.21.1","Fm","13","21","2",2422.35101851314,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000870813443799943
"644","Fo.21.1","Fo","14","21","2",2303.98404422773,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000130228075489081
"645","Quant.22.1","Quant","1","22","2",0.0533639288652673,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000102304076403211
"646","Sigma.22.1","Sigma","2","22","2",3.29931175411521,0.0000000000000000000000000000000715789928613726
"647","Connect.22.1","Connect","3","22","2",0.294694337301728,0.00000116774189613613
"648","Tau1.22.1","Tau1","4","22","2",1300.58745194694,0.00000000000000257825841426704
"649","Tau2.22.1","Tau2","5","22","2",8552698.06558267,0.00000170903500540623
"650","NPQ.22.1","NPQ","6","22","2",0.4980383005069,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000289965671277791
"651","qP.22.1","qP","7","22","2",0.758402882367511,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000204608152806423
"652","ABQ.22.1","ABQ","8","22","2",0.267654302047372,0.0000000000000000000000000000000715789928613726
"653","qm.22.1","qm","9","22","2",0.852022787846768,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000102304076403211
"654","nTau1.22.1","nTau1","10","22","2",1.8680988408314,0.00000000000000257825841426704
"655","nTau2.22.1","nTau2","11","22","2",9.84007452139375,0.00000170903500540623
"656","nCon.22.1","nCon","12","22","2",0.867804697455429,0.00000116774189613613
"657","Fm.22.1","Fm","13","22","2",2354.97460623604,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000289965671277791
