"","uni","metric","metrix","stage","col","ASnormalized.aabr5.005r","pval"
"130","Tau1.11.0","Tau1","4","11","1",1823.8323192411,0.0000000000000000338564617724874
"131","Tau2.11.0","Tau2","5","11","1",4364144.2954825,0.0000000549719339170291
"132","NPQ.11.0","NPQ","6","11","1",0.113907178818215,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000720486980574416
"133","qP.11.0","qP","7","11","1",0.443454489872746,0.00000000000000000000000000000000000000000000000000000000000000000000000000082179764239139
"134","ABQ.11.0","ABQ","8","11","1",-0.0392467188620047,0.000000000000000000000000000000000125896342886409
"135","qm.11.0","qm","9","11","1",0.768056858159848,0.000000000000000000000000000000000000000000000000000000000000000000000000000410898821195695
"136","nTau1.11.0","nTau1","10","11","1",2.23133318773501,0.0000000000000000338564617724874
"137","nTau2.11.0","nTau2","11","11","1",4.39232994202453,0.0000000549719339170291
"138","nCon.11.0","nCon","12","11","1",0.941308401336227,0.0000000123472606239208
"139","Fm.11.0","Fm","13","11","1",3241.96742150907,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000720486980574416
"140","Fo.11.0","Fo","14","11","1",2970.05865845122,0.00000000000000000000000000000000000000000000000000000000000000000000000000082179764239139
"141","Quant.12.0","Quant","1","12","1",0.0944133410147709,0.00000000000000000000000000000000000000000000000000000000000000000000000000144892438395778
"142","Sigma.12.0","Sigma","2","12","1",4.8944588404196,0.0000000000000000000000000000000000108577847665848
"143","Connect.12.0","Connect","3","12","1",0.197109221750605,0.0000401567671064861
"144","Tau1.12.0","Tau1","4","12","1",2126.95114738834,0.0000000000000000000332292193850414
"145","Tau2.12.0","Tau2","5","12","1",5039563.92790284,0.000000226922663410889
"146","NPQ.12.0","NPQ","6","12","1",0.119722418198906,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000158625774850483
"147","qP.12.0","qP","7","12","1",0.47763632631703,0.00000000000000000000000000000000000000000000000000000000000000000000000000289784876791556
"148","ABQ.12.0","ABQ","8","12","1",-0.12473269036637,0.0000000000000000000000000000000000108577847665848
"149","qm.12.0","qm","9","12","1",0.738903924457982,0.00000000000000000000000000000000000000000000000000000000000000000000000000144892438395778
"150","nTau1.12.0","nTau1","10","12","1",2.60217819028092,0.0000000000000000000332292193850414
"151","nTau2.12.0","nTau2","11","12","1",5.07211174437739,0.000000226922663410889
"152","nCon.12.0","nCon","12","12","1",0.633277216901552,0.0000401567671064861
"153","Fm.12.0","Fm","13","12","1",3225.13037661824,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000158625774850483
"154","Fo.12.0","Fo","14","12","1",2920.63504255349,0.00000000000000000000000000000000000000000000000000000000000000000000000000289784876791556
"155","Quant.13.0","Quant","1","13","1",0.102980810809982,0.0000000000000000000000000000000000000000000000000000000000000000000000000000712554023283542
"156","Sigma.13.0","Sigma","2","13","1",5.02655604487991,0.0000000000000000000000000000000000000106181877003024
"157","Connect.13.0","Connect","3","13","1",0.170794420623022,0.000043788565569253
"158","Tau1.13.0","Tau1","4","13","1",1947.55805773152,0.0000000000000000000287699571224847
"159","Tau2.13.0","Tau2","5","13","1",4599286.01003889,0.000000107427133232094
"160","NPQ.13.0","NPQ","6","13","1",0.117626162337057,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000349274239339772
"161","qP.13.0","qP","7","13","1",0.492993509397037,0.000000000000000000000000000000000000000000000000000000000000000000000000000142510804656708
"162","ABQ.13.0","ABQ","8","13","1",-0.155088251421569,0.0000000000000000000000000000000000000106181877003024
"163","qm.13.0","qm","9","13","1",0.715210951443666,0.0000000000000000000000000000000000000000000000000000000000000000000000000000712554023283542
"164","nTau1.13.0","nTau1","10","13","1",2.38270310456244,0.0000000000000000000287699571224847
"165","nTau2.13.0","nTau2","11","13","1",4.62899030967877,0.000000107427133232094
"166","nCon.13.0","nCon","12","13","1",0.54873239513528,0.000043788565569253
"167","Fm.13.0","Fm","13","13","1",3231.17953570653,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000349274239339772
"168","Fo.13.0","Fo","14","13","1",2898.43004724685,0.000000000000000000000000000000000000000000000000000000000000000000000000000142510804656708
"169","Quant.14.0","Quant","1","14","1",0.101738671401661,0.000000000000000000000000000000000000000000000000000000000000000000000000000897481087706646
"170","Sigma.14.0","Sigma","2","14","1",4.56984368337302,0.0000000000000000000000000000000000000657463451078574
"171","Connect.14.0","Connect","3","14","1",0.282545304543129,0.000000000798623137552963
"172","Tau1.14.0","Tau1","4","14","1",1910.52292930311,0.0000000000000000000456852883526706
