"","uni","metric","metrix","stage","col","ASnormalized.occ2_aglo13.005r","pval"
"146","NPQ.12.0","NPQ","6","12","1",0.171696038289788,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402411764296589
"147","qP.12.0","qP","7","12","1",0.543451349872159,0.0000000000000000000000000000000000000000000000000000000000000000000000000111365845281804
"148","ABQ.12.0","ABQ","8","12","1",-0.141894731220993,0.00000000000000000000000000000000000601876093818383
"149","qm.12.0","qm","9","12","1",0.749862760350868,0.00000000000000000000000000000000000000000000000000000000000000000000000000556829226409018
"150","nTau1.12.0","nTau1","10","12","1",3.06928839194451,0.00000000000000142256899483928
"151","nTau2.12.0","nTau2","11","12","1",5.00247767116702,0.00000181861234631102
"152","nCon.12.0","nCon","12","12","1",0.650070144928085,0.0000126652643616369
"153","Fm.12.0","Fm","13","12","1",2816.96996589425,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402411764296589
"154","Fo.12.0","Fo","14","12","1",2548.29889661975,0.0000000000000000000000000000000000000000000000000000000000000000000000000111365845281804
"155","Quant.13.0","Quant","1","13","1",0.100618639283833,0.0000000000000000000000000000000000000000000000000000000000000000000000000000907364677392735
"156","Sigma.13.0","Sigma","2","13","1",5.46826837055685,0.0000000000000000000000000000000000000046860410040189
"157","Connect.13.0","Connect","3","13","1",0.267028953459302,0.00000000126701180567263
"158","Tau1.13.0","Tau1","4","13","1",1921.76851978508,0.000000000000000220379548939997
"159","Tau2.13.0","Tau2","5","13","1",3548891.79780126,0.0000000274976288892641
"160","NPQ.13.0","NPQ","6","13","1",0.162597718395194,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808678018667605
"161","qP.13.0","qP","7","13","1",0.5397973774768,0.000000000000000000000000000000000000000000000000000000000000000000000000000181472935478547
"162","ABQ.13.0","ABQ","8","13","1",-0.160331873451598,0.0000000000000000000000000000000000000046860410040189
"163","qm.13.0","qm","9","13","1",0.736112933289472,0.0000000000000000000000000000000000000000000000000000000000000000000000000000907364677392735
"164","nTau1.13.0","nTau1","10","13","1",2.74952330121655,0.000000000000000220379548939997
"165","nTau2.13.0","nTau2","11","13","1",4.15006312158476,0.0000000274976288892641
"166","nCon.13.0","nCon","12","13","1",0.825896099659649,0.00000000126701180567263
"167","Fm.13.0","Fm","13","13","1",2839.01516130246,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808678018667605
"168","Fo.13.0","Fo","14","13","1",2553.35731886604,0.000000000000000000000000000000000000000000000000000000000000000000000000000181472935478547
"169","Quant.14.0","Quant","1","14","1",0.108558294770977,0.000000000000000000000000000000000000000000000000000000000000000000000000000378891763590597
"170","Sigma.14.0","Sigma","2","14","1",5.16874634606023,0.00000000000000000000000000000000000000106871089370866
"171","Connect.14.0","Connect","3","14","1",0.259906887143054,0.00000000134385577454148
"172","Tau1.14.0","Tau1","4","14","1",1973.23423578852,0.000000000000000000725588179365858
"173","Tau2.14.0","Tau2","5","14","1",4546502.90181557,0.00000258781295025323
"174","NPQ.14.0","NPQ","6","14","1",0.159707394660244,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000158505192748692
"175","qP.14.0","qP","7","14","1",0.551523555706478,0.000000000000000000000000000000000000000000000000000000000000000000000000000757783527181194
"176","ABQ.14.0","ABQ","8","14","1",-0.0967751991494574,0.00000000000000000000000000000000000000106871089370866
"177","qm.14.0","qm","9","14","1",0.715290027989745,0.000000000000000000000000000000000000000000000000000000000000000000000000000378891763590597
"178","nTau1.14.0","nTau1","10","14","1",2.82315661548328,0.000000000000000000725588179365858
"179","nTau2.14.0","nTau2","11","14","1",5.31666646942938,0.00000258781295025323
"180","nCon.14.0","nCon","12","14","1",0.803868200752413,0.00000000134385577454148
"181","Fm.14.0","Fm","13","14","1",2846.09080205665,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000158505192748692
"182","Fo.14.0","Fo","14","14","1",2537.12403782202,0.000000000000000000000000000000000000000000000000000000000000000000000000000757783527181194
"183","Quant.15.0","Quant","1","15","1",0.110822902823522,0.0000000000000000000000000000000000000000000000000000000000000000000000000000671817062000277
"184","Sigma.15.0","Sigma","2","15","1",5.16136889549628,0.000000000000000000000000000000000000000111027197265934
"185","Connect.15.0","Connect","3","15","1",0.248579622641974,0.000000001422456408849
"186","Tau1.15.0","Tau1","4","15","1",2004.84491967601,0.0000000000000000141579730302085
"187","Tau2.15.0","Tau2","5","15","1",3481631.52821278,0.0000000501596924364942
"188","NPQ.15.0","NPQ","6","15","1",0.146658486266947,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000320869704388632
"189","qP.15.0","qP","7","15","1",0.535376267143271,0.000000000000000000000000000000000000000000000000000000000000000000000000000134363412400055
"190","ABQ.15.0","ABQ","8","15","1",-0.0952097509208629,0.000000000000000000000000000000000000000111027197265934
"191","qm.15.0","qm","9","15","1",0.709350762854691,0.0000000000000000000000000000000000000000000000000000000000000000000000000000671817062000277
"192","nTau1.15.0","nTau1","10","15","1",2.86838282822496,0.0000000000000000141579730302085
"193","nTau2.15.0","nTau2","11","15","1",4.07140916979623,0.0000000501596924364942
"194","nCon.15.0","nCon","12","15","1",0.768834008953879,0.000000001422456408849
"195","Fm.15.0","Fm","13","15","1",2878.47915360145,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000320869704388632
"196","Fo.15.0","Fo","14","15","1",2559.47773808235,0.000000000000000000000000000000000000000000000000000000000000000000000000000134363412400055
"197","Quant.16.0","Quant","1","16","1",0.0388715250153732,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000430491155076001
"198","Sigma.16.0","Sigma","2","16","1",3.77179223626725,0.0000000000000000000000000137495049456156
"199","Connect.16.0","Connect","3","16","1",0.366140463164778,0.000000142587012783865
"200","Tau1.16.0","Tau1","4","16","1",2408.0104259873,0.0000000000713925178017916
"201","Tau2.16.0","Tau2","5","16","1",20120667.3677363,0.0113473928509129
"202","NPQ.16.0","NPQ","6","16","1",0.0925060613958232,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000213707607917347
"203","qP.16.0","qP","7","16","1",0.286711283721069,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000860982310152002
"204","ABQ.16.0","ABQ","8","16","1",0.199649604737213,0.0000000000000000000000000137495049456156
"205","qm.16.0","qm","9","16","1",0.898053752387407,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000430491155076001
"206","nTau1.16.0","nTau1","10","16","1",3.4452020145303,0.0000000000713925178017916
"207","nTau2.16.0","nTau2","11","16","1",23.5290463564572,0.0113473928509129
"208","nCon.16.0","nCon","12","16","1",1.13243892296292,0.000000142587012783865
"209","Fm.16.0","Fm","13","16","1",3021.15719596339,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000213707607917347
"210","Fo.16.0","Fo","14","16","1",2903.72020844512,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000860982310152002
"211","Quant.17.0","Quant","1","17","1",0.0371960739903046,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000124289967181282
"212","Sigma.17.0","Sigma","2","17","1",3.71201781303397,0.0000000000000000000000000352829725393339
"213","Connect.17.0","Connect","3","17","1",0.230810759381859,0.00185665516204553
"214","Tau1.17.0","Tau1","4","17","1",1254.82202537681,0.000000418560296118425
"215","Tau2.17.0","Tau2","5","17","1",9821784.10672604,0.000704684781836858
"216","NPQ.17.0","NPQ","6","17","1",0.119515263341896,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221911209005663
"217","qP.17.0","qP","7","17","1",0.33374729858026,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000248579934362564
"218","ABQ.17.0","ABQ","8","17","1",0.212333358312334,0.0000000000000000000000000352829725393339
"219","qm.17.0","qm","9","17","1",0.902447867231033,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000124289967181282
"220","nTau1.17.0","nTau1","10","17","1",1.79530591855003,0.000000418560296118425
"221","nTau2.17.0","nTau2","11","17","1",11.4855640385387,0.000704684781836858
"222","nCon.17.0","nCon","12","17","1",0.713876542088205,0.00185665516204553
"223","Fm.17.0","Fm","13","17","1",2948.26936005035,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221911209005663
"224","Fo.17.0","Fo","14","17","1",2838.60531479057,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000248579934362564
"225","Quant.18.0","Quant","1","18","1",0.0305789215349192,0.000000000000000000000000000000000000000000000000000000000000000000000000000546798827500773
"226","Sigma.18.0","Sigma","2","18","1",3.36585452652421,0.000000000000000000432654677509933
"227","Connect.18.0","Connect","3","18","1",0.425247099798647,0.00000743207309215231
"228","Tau1.18.0","Tau1","4","18","1",1444.52931835796,0.0000000371811899972468
"229","Tau2.18.0","Tau2","5","18","1",8685816.22468676,0.000012606703270261
"230","NPQ.18.0","NPQ","6","18","1",0.153322784110938,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000178097678693496
"231","qP.18.0","qP","7","18","1",0.380173855307676,0.00000000000000000000000000000000000000000000000000000000000000000000000000109359765500155
"232","ABQ.18.0","ABQ","8","18","1",0.285787012657232,0.000000000000000000432654677509933
"233","qm.18.0","qm","9","18","1",0.919802315311992,0.000000000000000000000000000000000000000000000000000000000000000000000000000546798827500773
"234","nTau1.18.0","nTau1","10","18","1",2.06672498754421,0.0000000371811899972468
"235","nTau2.18.0","nTau2","11","18","1",10.1571667012412,0.000012606703270261
"236","nCon.18.0","nCon","12","18","1",1.31525033733395,0.00000743207309215231
"237","Fm.18.0","Fm","13","18","1",2861.84630572782,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000178097678693496
"238","Fo.18.0","Fo","14","18","1",2774.33413209997,0.00000000000000000000000000000000000000000000000000000000000000000000000000109359765500155
"239","Quant.19.0","Quant","1","19","1",0.0331861923176942,0.00000000000000000000000000000000000000000000000000000000000000000000000000000078788297247173
"240","Sigma.19.0","Sigma","2","19","1",4.07776050561191,0.00000000000000000000473286545837724
"241","Connect.19.0","Connect","3","19","1",0.0549657604166365,0.609548813556834
"242","Tau1.19.0","Tau1","4","19","1",2109.39685631824,0.00000000000996419908699277
"243","Tau2.19.0","Tau2","5","19","1",14288036.6623862,0.000990885313020304
"244","NPQ.19.0","NPQ","6","19","1",0.182197430790402,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000689232556777404
"245","qP.19.0","qP","7","19","1",0.434380207529705,0.00000000000000000000000000000000000000000000000000000000000000000000000000000157576594494346
"246","ABQ.19.0","ABQ","8","19","1",0.134725078154537,0.00000000000000000000473286545837724
"247","qm.19.0","qm","9","19","1",0.91296436715563,0.00000000000000000000000000000000000000000000000000000000000000000000000000000078788297247173
"248","nTau1.19.0","nTau1","10","19","1",3.01796795412622,0.00000000000996419908699277
"249","nTau2.19.0","nTau2","11","19","1",16.7083860007109,0.000990885313020304
"250","nCon.19.0","nCon","12","19","1",0.170004063435187,0.609548813556834
